Gene_ID	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
18041	889	1442	774	795	822	1149	962
18044	3766	3189	2481	2914	4570	4980	3134
18045	3149	2458	3094	1555	2715	1875	2343
18046	1585	2078	1207	1512	1764	2784	2528
18048	0	0	0	0	0	0	0
18049	21	6	0	14	4	47	12
18050	0	0	0	0	0	0	0
18053	4863	5071	2668	2683	3221	3990	2803
18054	0	1	0	3	0	0	1
18071	3005	7020	4677	7808	5329	2098	2785
18072	6089	7659	7201	5590	5662	3441	2335
18073	16632	3387	4198	8911	6373	13843	5082
18074	3786	1458	758	2648	1301	2796	3266
18080	9060	7376	4244	7555	13789	8651	16783
18081	2740	731	1197	805	1025	2629	2160
18082	1548	3205	1666	1345	861	1320	1785
18087	4878	8042	6738	6289	6562	6509	6279
18088	2	2	0	121	121	3	0
18089	0	0	0	0	0	0	2
18091	4	18	0	0	47	0	48
18092	0	0	0	0	0	0	0
18094	0	0	0	0	0	48	0
18095	1	0	1	0	2	2	1
18096	0	0	0	0	0	2	0
18099	2021	2362	1958	2064	2181	1936	2064
18100	836	1234	1272	1076	796	1205	1815
18101	6	13	0	1	3	10	4
18102	5975	9069	5657	4859	4575	4564	6988
18103	7028	15520	8487	7101	7707	7992	9879
18104	44	37	25	47	64	287	10
18105	1024	2201	529	865	560	1084	726
18106	360	41	15	143	50	116	56
18107	5109	6458	3791	3719	3693	5305	6072
18108	5748	7195	5900	4017	5396	4975	4423
18109	12265	24608	17755	11184	12119	4618	12186
18111	8430	8058	5523	6967	12969	15734	8972
18113	169	44	27	49	36	238	16
18114	6645	7905	6145	4309	5233	4015	5660
18115	2045	2598	1075	931	1192	2445	1600
18117	2151	3201	1981	1835	2156	3280	2574
18119	0	2	2	10	5	12	2
18120	1104	1541	1662	2250	1682	1820	1577
18121	8	7	1	17	7	60	24
18124	21	58	22	35	17	48	18
18125	694	45	562	29	323	1271	36
18126	463	121	180	139	98	87	295
18127	509	169	119	493	263	422	199
18128	3003	4247	2325	4081	3385	5571	9259
18129	8337	7483	4670	5629	7507	17811	7150
18130	2298	2751	2995	1689	2194	2715	3364
18131	1845	624	16532	1448	1153	1272	1608
18132	1940	505	441	966	591	636	651
18133	9561	33	109	3492	370	317	49
18139	14122	15929	17911	13068	17856	13261	14989
18140	9664	9946	5508	7020	14320	14161	16301
18141	5874	8356	7576	3178	6135	7868	7902
18142	6	29	33	16	42	12	21
18143	74	7	23	39	25	17	18
18145	4579	2798	2791	2403	2612	2857	2112
18146	2492	2730	2527	1868	2570	1668	1914
18148	17139	39132	25365	17186	20091	24647	33450
18150	644	1324	1652	640	1548	1435	2518
18155	10	364	504	24	61	1	8
18158	2	3	0	0	0	2	1
18159	373	64	29	30	108	85	566
18160	233	68	85	200	101	694	104
18162	177	835	375	239	844	563	321
18163	2770	1529	3064	1654	4511	1266	2902
18164	2973	889	1410	1343	2800	13480	2542
18166	90	3	9	17	4	85	36
18167	4	1	2	1	4	2	3
18168	1	0	0	0	0	0	0
18169	0	0	0	0	0	0	0
18171	7	3	31	23	3	5	25
18173	2817	269	422	1017	655	1312	399
18174	2120	2549	2000	1615	1964	3545	1994
18175	26	4	6	4	13	2966	115
18176	8128	12783	8671	7270	8293	12093	10795
18181	2798	3353	2771	2926	3825	3476	4390
18183	27	23	145	2	20	33	16
18185	1	8	1	2	9	0	0
18186	11353	2301	2388	4543	3254	5666	2718
18187	6846	1424	1178	2406	1681	3073	835
18188	1	1	1	5	3	9	1
18189	23120	5813	6767	3597	8660	3168	2006
18190	1068	914	3035	2219	3077	1299	1850
18191	1671	170	326	415	377	759	62
18193	15231	14477	16133	17744	24021	20762	19249
18194	1356	2443	1068	879	1641	1555	2146
18195	4090	3289	2338	2459	2256	3811	3089
18196	5193	4450	4574	2230	4923	2708	3767
18197	6872	14641	8598	7688	9099	4098	6950
18198	8	106	0	17	4	223	55
18201	2422	2547	1707	1996	2121	3391	1997
18203	1207	1167	1205	1246	1087	1091	1700
18205	237	153	179	5	14	2307	992
18207	217	453	228	238	282	351	375
18208	3060	7936	4987	3595	4727	5797	7685
18209	1311	894	440	1494	1845	394	365
18211	0	11	18	2	0	2	0
18212	2335	287	4461	636	1401	1544	1049
18213	1048	742	5966	1269	4501	306	293
18214	6545	10177	7144	5965	7886	15194	8258
18216	19	352	131	72	113	577	270
18217	71	671	466	36	23	4	4
18218	2956	2541	3894	1691	1579	6074	766
18220	5598	1948	2578	2802	2916	3954	2959
18221	2689	6085	2838	2758	2656	5397	4328
18222	1763	1982	1022	1649	2116	1960	2211
18223	3689	3173	3434	2679	3570	1670	2127
18226	4425	3444	4242	3753	4539	3579	4919
18227	317	398	292	175	515	218	178
18230	2900	2724	2206	1131	755	3295	2647
18231	2	11	49	167	220	0	9
18232	0	0	1	1	0	1	0
18241	6	3	4	1	0	0	0
18242	5702	3335	4173	3000	4135	4469	4410
18245	1442	1731	1424	969	1372	1322	1647
18247	2787	3027	2813	2445	2507	2646	3235
18249	0	0	0	0	0	0	0
18256	1	0	1	1	6	18	1
18260	5	40	4	0	27	19	2
18261	0	0	0	0	0	0	0
18263	14707	33253	19186	10906	9031	19729	21041
18285	0	0	0	1	0	7	0
18286	3921	6092	5583	4854	5853	5104	5907
18291	1	1	0	0	0	0	1
18292	71	49	5	4	8	43	15
18293	6775	8075	4828	3565	5184	7741	6215
18294	405	509	409	529	565	308	850
18295	1570	210	48	760	237	3417	100
18300	1	0	0	0	0	1	0
18301	2704	487	606	1012	625	1632	614
18302	21	5	3	5	3	5	4
18307	0	1	0	0	1	1	5
18310	0	0	0	0	0	0	0
18312	0	0	0	1	0	0	0
18313	0	0	0	0	0	0	0
18314	0	0	0	0	0	1	0
18315	0	5	0	0	1	3	8
18316	0	0	0	0	0	1	0
18317	0	0	0	0	0	0	0
18321	0	0	0	0	0	0	0
18322	0	0	1	0	1	0	0
18323	0	0	0	0	0	0	0
18324	0	0	0	0	0	0	0
18328	0	0	0	0	0	0	0
18329	0	0	0	0	0	0	0
18330	11	18	1	0	1	2	1
18331	0	0	0	0	0	0	0
18332	0	0	0	1	0	0	0
18341	0	0	0	0	0	0	0
18343	0	0	0	0	0	0	0
18344	0	0	0	0	0	0	0
18345	0	0	0	0	0	0	0
18346	0	0	0	0	0	0	0
18347	0	0	0	0	0	0	0
18348	0	0	0	0	0	0	2
18349	0	1	0	0	0	0	0
18350	0	0	0	0	0	0	0
18351	0	0	0	0	0	0	0
