"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T"
"248",0,0,0,0,0,0,0,0,0,0,0,0
"249",24,3,4,22,77,14,0,0,0,21,0,6
"250",0,1,0,0,1,1,0,0,0,0,0,1
"251",0,0,0,0,0,0,0,0,0,0,0,0
"257",0,0,0,1,2,0,0,1,0,0,0,0
"258",1,0,0,1,0,0,0,0,0,0,0,1
"259",0,0,0,0,0,0,0,0,0,0,0,0
"262",841,698,1044,488,427,570,484,322,344,342,589,338
"265",0,0,1,0,0,0,0,0,0,0,0,0
"267",269,135,280,253,278,227,88,53,88,112,216,102
"268",0,0,1,0,0,0,0,0,1,1,0,1
"269",0,0,0,0,0,0,0,0,1,0,0,0
"270",0,1,0,0,0,0,6,4,2,0,0,1
"271",207,232,123,80,38,49,182,129,160,94,77,103
"272",440,166,108,143,411,173,96,59,51,68,105,54
"273",5,7,2,0,1,0,2,4,3,0,1,5
"274",123,130,142,39,89,52,75,45,72,42,117,58
"275",34,36,27,23,30,52,65,57,67,18,47,42
"277",0,0,0,0,0,0,1,0,0,0,0,0
"278",0,0,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,1,0,0,1,0,0,4,0
"280",87,52,68,87,84,76,180,114,71,73,141,79
"283",3,3,4,0,0,0,4,0,0,0,1,0
"284",2,9,0,5,0,3,1,3,0,4,0,4
"285",34,29,51,34,94,32,52,60,28,25,53,20
"286",32,12,24,41,33,39,14,37,15,30,4,28
"287",20,3,1,15,5,5,3,4,5,6,0,8
"288",195,109,285,71,153,34,780,625,401,276,734,220
"290",950,261,508,222,185,74,89,37,318,270,30,268
"291",60,30,50,68,94,57,86,51,116,26,65,36
"292",792,708,831,306,339,325,239,188,170,218,341,276
"293",1187,1138,1330,665,721,866,230,251,510,451,793,548
"301",1641,1658,1149,511,181,172,789,341,726,887,625,737
"302",1917,2167,1233,354,213,157,422,444,423,478,167,504
"303",0,0,1,0,1,0,1,1,0,0,0,1
"304",13,15,4,3,2,0,3,4,1,0,0,4
"305",0,0,1,0,0,0,0,0,0,0,0,0
"306",19,47,1,7,1,9,1,4,0,10,1,6
"307",178,218,118,34,21,33,29,38,40,13,10,52
"308",2457,2360,735,428,250,279,282,468,489,387,174,400
"309",350,210,224,58,127,87,168,113,123,56,77,100
"310",406,370,300,479,558,482,157,132,106,395,715,362
"311",226,246,448,136,140,172,139,79,70,108,162,175
"313",605,815,135,73,48,44,180,311,113,99,146,154
"314",13,12,12,9,6,12,18,11,16,6,7,7
"316",0,0,0,0,0,0,0,0,0,0,0,0
"317",366,450,368,86,132,75,68,117,96,47,122,43
"318",16,17,12,15,5,6,13,6,2,18,22,19
"319",1,2,28,0,0,2,3,6,0,0,5,3
"320",3,17,22,1,1,0,3,2,0,1,2,0
"321",16,20,42,4,4,3,86,92,58,47,247,77
"322",12,14,48,23,14,13,42,47,44,26,120,27
"323",70,39,60,114,156,154,5,6,3,16,2,7
"324",539,614,483,451,552,420,593,412,251,373,567,355
"325",0,0,0,0,0,0,0,0,0,0,0,0
"326",0,0,1,0,0,0,0,1,0,0,0,0
"327",51,69,51,17,29,18,36,25,51,24,57,20
"328",515,521,802,345,409,400,270,192,245,290,761,304
"329",1463,953,923,657,817,963,2609,1368,608,887,1558,816
"330",16923,8105,14002,5257,8346,7238,9973,6744,3158,3687,5769,2732
"331",250,205,278,167,249,101,84,108,79,116,216,83
"332",3,5,1,3,0,0,1,1,0,7,1,7
"333",5,3,4,0,1,0,1,2,1,0,0,0
"334",3711,3232,1058,1441,1230,960,1129,1305,882,1163,407,685
"335",0,5,1,1,0,0,0,1,0,0,0,0
"336",7,6,2,1,0,0,0,4,1,1,1,1
"337",0,0,2,0,0,0,0,0,0,0,0,0
"338",0,0,2,0,0,0,0,0,2,2,0,0
"339",0,0,0,0,0,0,0,0,0,0,0,0
"341",0,0,0,0,0,0,0,0,0,1,0,0
"342",0,0,0,0,0,0,0,0,0,0,0,0
"343",2,0,1,0,2,0,3,1,0,2,1,0
"344",0,0,0,0,0,0,0,0,0,0,0,0
"345",0,0,0,0,0,0,0,0,0,0,0,0
"346",0,0,0,0,0,0,0,0,0,0,0,0
"347",2,0,2,2,0,0,1,2,4,1,0,0
"348",2,0,0,3,1,3,5,2,0,1,3,1
"350",0,0,0,0,0,0,0,0,0,0,0,0
"351",531,678,344,206,207,189,174,124,83,178,181,151
"353",67,59,59,46,38,43,22,20,23,32,95,53
"354",0,0,0,0,0,0,0,0,0,0,0,2
"355",173,128,195,99,122,168,135,90,70,158,254,221
"356",11,33,25,3,4,1,22,10,4,14,10,29
"357",1,6,9,1,1,0,1,0,3,0,0,0
"358",1,0,0,0,0,0,0,3,0,0,0,1
"359",0,0,0,0,0,0,0,0,1,0,0,0
"360",17,54,61,12,8,0,145,71,67,55,286,35
"361",0,0,0,0,0,0,0,0,0,0,0,1
"362",0,0,1,0,0,0,0,0,0,0,0,0
"363",0,0,1,0,0,0,0,4,0,0,0,1
"366",3562,2041,304,461,176,94,93,442,242,518,37,229
"367",4,8,9,1,0,2,2,1,0,1,1,2
"368",4,2,2,1,1,0,2,5,3,0,0,0
"369",189,167,245,201,230,167,167,128,126,113,178,123
"372",1446,1360,1591,1049,1214,1006,670,468,334,914,1845,844
"373",87,70,140,103,151,117,193,121,125,125,289,103
"374",268,544,604,111,83,142,67,75,72,76,143,66
"375",1853,1751,2384,1271,1077,1379,464,489,517,841,1200,774
"377",423,593,262,148,221,134,210,203,149,180,206,173
"378",817,993,1095,321,250,246,342,234,233,269,336,199
"379",36,18,54,0,3,2,20,20,44,0,3,3
"381",14,21,24,21,21,17,9,7,15,4,13,12
"382",791,858,616,511,694,542,299,255,126,402,526,339
"383",30,105,2,11,15,18,9,12,19,26,10,17
"384",161,137,220,73,121,98,150,79,72,45,149,69
"387",5242,5088,4173,3864,3054,2971,985,917,924,1978,2039,2066
"388",412,427,443,302,97,181,131,61,59,101,19,133
"389",59,147,49,17,9,19,13,16,16,24,30,18
"390",0,0,0,0,0,0,0,0,0,1,0,0
"391",762,544,540,508,533,529,186,171,159,326,475,230
"392",149,203,156,90,125,97,51,74,43,47,122,72
"393",146,149,124,110,122,126,145,151,133,94,133,91
"394",455,368,548,437,516,529,515,234,252,528,1121,439
"395",8,8,11,6,5,3,1,0,0,9,0,3
"396",284,250,282,239,203,214,61,96,103,111,176,119
"397",3261,3712,4528,1943,2165,2188,1453,994,1168,2071,5181,2839
"399",1700,539,1729,838,1051,969,1192,817,429,571,1416,518
"400",66,41,70,81,134,86,25,15,32,62,175,90
"401",0,0,0,0,0,0,0,1,0,0,0,0
"402",8,5,0,2,12,3,2,1,4,0,2,3
"403",19,19,4,15,24,8,23,17,47,10,23,8
"405",311,328,363,149,171,129,158,118,140,142,199,99
"406",111,120,133,87,103,77,204,140,30,109,177,109
"407",0,0,0,0,0,1,0,0,0,0,0,0
"408",291,437,321,28,21,36,166,160,107,82,80,109
"409",470,792,427,292,154,141,226,232,239,350,295,279
"410",29,28,40,13,18,12,19,13,31,8,19,8
"411",185,220,238,89,117,48,36,66,41,37,21,44
"412",94,49,55,61,125,74,26,11,5,15,30,34
"414",68,48,67,6,10,8,6,17,3,11,4,16
"415",0,0,0,0,0,0,0,0,0,0,0,0
"416",0,0,0,0,0,0,0,0,0,0,0,0
"417",1,2,0,2,1,0,1,2,0,0,3,0
"419",0,0,2,2,1,2,5,1,10,0,0,1
"420",2,1,1,1,5,1,0,0,4,0,0,0
"421",7,6,3,3,2,1,6,6,1,2,4,1
"427",825,919,391,327,237,211,132,173,150,347,101,250
"429",0,0,3,3,3,0,0,0,0,0,0,0
"430",0,0,0,0,0,0,0,0,0,0,0,0
"432",2,5,1,3,0,2,1,1,4,0,0,0
"433",29,24,3,0,2,0,0,7,26,4,1,3
"434",0,0,0,1,0,0,0,1,0,0,0,0
"435",47,39,21,33,20,14,22,27,74,15,18,20
"438",0,1,2,4,0,2,1,2,0,3,0,4
"439",44,51,65,30,34,21,15,16,2,24,52,32
"440",128,99,120,111,132,78,214,192,169,79,135,60
"443",0,0,0,0,1,0,0,0,0,0,0,2
"444",679,305,205,88,103,58,123,99,79,185,78,119
"445",0,0,0,0,0,0,0,0,0,0,0,0
"460",0,0,0,0,0,0,0,0,0,0,0,1
"462",1,1,0,0,0,0,0,3,0,1,1,0
"463",629,603,327,111,182,117,72,121,74,103,20,84
"466",258,184,139,64,77,73,99,67,58,46,113,49
"467",167,481,143,83,19,47,59,106,62,46,11,25
"468",1528,2006,1650,960,717,1001,871,707,731,551,532,623
"471",113,84,240,115,201,132,55,49,55,52,217,101
"472",1704,1323,2678,681,889,760,2662,1799,2679,973,2651,1030
"473",589,402,743,356,401,412,418,320,351,143,288,179
"474",0,0,0,0,0,0,0,0,0,0,0,1
"475",20,27,15,11,18,9,1,5,41,8,17,8
"476",2831,2893,1854,786,896,728,1871,1365,1299,766,1597,939
"477",0,1,0,0,0,0,0,0,0,0,0,1
"478",17,12,41,6,6,4,34,27,30,1,5,4
"479",0,0,0,0,1,0,0,0,0,0,0,1
"480",2,0,8,0,0,0,0,0,0,0,0,1
"481",72,277,194,17,13,7,68,72,155,37,13,17
"482",14,23,52,6,5,3,27,77,108,1,6,1
"483",4262,2374,2223,592,1146,980,2126,1763,476,586,1688,519
"486",1,0,0,0,0,0,0,0,1,0,0,0
"487",1,2,0,2,2,1,0,4,1,1,0,2
"488",1337,1462,1245,685,698,550,1304,1077,814,580,730,517
"489",490,309,487,429,510,460,232,151,268,115,179,145
"490",5299,3901,1788,2431,2276,1723,913,1175,687,1633,784,891
"491",2,5,0,2,7,2,3,5,0,6,3,2
"492",0,0,0,0,7,0,1,2,3,0,0,2
"493",382,753,555,44,22,76,490,478,313,84,103,318
"495",0,0,1,0,0,0,0,0,0,0,0,0
"496",0,2,0,0,0,0,2,0,0,2,0,0
"498",482,484,670,305,598,432,201,136,150,367,843,472
