"","B_Cell.Control","B_Cell.SLE","T_Cell.Control","T_Cell.SLE","P_Cell","P_SLE","P_Cell:SLE"
"7480",7.70140407159102,6.49912096178155,36.2403348243638,41.0735981574372,0.000216496102511981,0.935423889879399,0.59499917154294
"101928192",3.57223715631229,2.84177669672695,1.56744995616394,2.01237322477254,0.213397249544548,0.981126657451819,0.595006708589204
"2997",46.7188198186874,19.5418359943399,54.543623787549,18.3246106811158,0.824862280083596,0.00111234336336403,0.595030903427147
"1155",43.0728785308303,50.1506063209513,29.318142326058,43.5324852589002,0.265292812973108,0.247989839913986,0.595055926527775
"7485",13.0596798593125,9.83279795767804,13.6739395937066,14.2579465508003,0.498230681637191,0.69178182428818,0.595230088851999
"100129480",0.933588066571195,1.31744922113897,1.80761195282147,1.63462962117216,0.307724963880192,0.769578358254781,0.595305018814125
"2069",1869.60620600237,150.25964094754,619.536964933249,96.9121286017754,0.235980970338165,0.00664782180250581,0.595391730979653
"83862",21.2437688644198,21.2647280413222,5.41429568511665,7.90856663148632,0.0087364939328157,0.593587477422561,0.595470788974358
"6351",1164.7224269697,182.105596614302,299.254241088509,97.110665733392,0.170833025347026,0.0540063351608905,0.595536104668796
"503542",1.6567593911414,2.46193392664311,2.12723863670625,1.97602058981162,0.972621064917962,0.714397398427239,0.595563319817618
"146705",37.0742256219159,55.195263424824,48.0340860814429,58.6662125728404,0.397900815336448,0.133720471584806,0.595623165193871
"202020",17.6763071474305,16.9194954993084,11.5979486907087,7.09359048313488,0.149977313421769,0.527474211925894,0.595665318292063
"92070",30.7980873440728,32.0846318140635,36.7201106198187,48.0518155932004,0.197685950244086,0.474238019488938,0.595675685723663
"100505854",17.7704846149541,18.1238809471651,26.3119669788489,23.1735784754816,0.0430931852251113,0.696974078528258,0.596084064904504
"146433",2.02811558278356,1.04206437838281,1.43670716696944,1.02333597314649,0.556791020459674,0.127851465837938,0.596105328215085
"56121",1.30612410518913,1.68003211396211,1.24806100931346,2.41134667317074,0.679657524982187,0.252026932232798,0.596197484627134
"10863",339.555471618757,1623.27310259134,19.8924917023533,49.4897698005677,0.000690556751683416,0.0698897269593548,0.596268768564025
"124220",1.6567019679239,1.32999964141661,1.5737191201122,1.66370865606046,0.738508489221776,0.750785858579735,0.596269868250583
"10437",1942.26546955041,637.019429114018,649.6108062067,434.171777984724,0.285039541561368,0.273396111723782,0.596292788205309
"100507520",6.33259577932292,1.57907518909065,4.72733241623226,2.06718072556605,0.982533221029947,0.0612476309593612,0.596332808716852
"11037",5.6610334488004,3.81829133380653,4.62181898601612,4.2955075155224,0.887304905351948,0.444991864157996,0.596390648043488
