ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
67836	854	1260	1433	1422	921	1240	806	890	1296	1351	409	981	491	595	769	691	601	428	888
67838	2749	4190	4083	4279	2889	5106	4539	4561	4908	4812	2634	2992	4736	2298	4040	2667	1963	3352	2971
67839	2515	4362	5033	5553	5116	10077	7186	7557	17011	10743	6229	4735	6420	6343	5079	5340	6515	3283	3868
67840	1271	2093	2410	1986	1401	1914	1270	1643	2814	2639	928	2311	1504	1308	1489	983	1030	1574	1917
67841	834	1262	1331	1387	877	2317	1665	2185	1922	2002	1105	1327	1875	1741	1414	885	1117	981	1148
67842	1996	3446	3692	3621	2362	3389	3098	2594	5807	3420	1631	3550	3126	2969	2477	1773	1979	2463	3539
67843	1293	2055	1994	1762	1308	2213	2383	2308	2239	2370	2486	3357	2975	2620	1872	1469	2217	3098	3338
67844	415	410	409	285	210	343	394	385	581	329	2306	565	454	279	540	571	490	882	484
67845	1972	2921	3070	3189	1946	3689	3009	10091	3699	4827	3350	3766	5431	3364	2423	1868	2374	3669	3065
67846	1679	1753	2057	1537	1688	1031	1280	1270	1276	1373	659	1396	1816	869	887	846	811	1084	1294
67847	324	2342	1428	1667	955	2419	1868	2030	2555	2934	1169	1994	2720	2149	1699	1139	2831	1424	1708
67848	944	1171	1514	1251	1066	1921	1382	1705	1899	2123	901	1256	1480	2179	1157	1015	1006	738	1388
67849	1155	2174	2315	1760	1168	1867	1545	1560	2583	2671	638	1054	994	745	1033	1520	1341	1124	1407
67850	1	0	0	2	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0
67851	656	1054	1220	959	686	1025	1107	1133	1061	1516	561	671	1089	948	647	494	522	566	705
67854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67855	46	45	59	76	116	66	29	99	42	33	65	24	27	13	54	113	66	38	32
67856	213	155	185	266	295	21	17	61	18	26	11	62	4	6	18	5	31	92	49
67857	1494	2262	2306	2240	1614	2566	2586	3006	3055	3742	3392	3528	5022	4492	3234	2958	2913	4298	4170
67859	0	1	4	0	0	1	0	0	1	0	2	1	1	4	5	1	1	0	0
67860	294	277	115	129	159	2554	1342	1977	1728	1648	1029	960	459	415	418	785	1169	1181	457
67861	172	227	173	224	176	309	554	526	730	439	739	1064	796	834	616	480	534	742	840
67862	405	631	831	598	491	474	469	560	452	806	251	368	601	358	244	251	355	372	455
67863	3075	4017	4701	4063	3273	3521	3512	3483	3969	5220	3428	3884	3194	3354	2607	2538	3019	3300	3397
67864	1508	1929	2377	2380	1338	2304	1204	2109	2338	3549	2816	3019	3873	2180	1841	1662	2294	2987	1782
67865	299	226	165	172	181	233	342	248	553	181	2078	393	123	143	421	557	496	557	185
67866	53	65	124	121	171	0	98	46	0	27	0	16	1	6	0	2	19	89	0
67867	428	616	787	573	550	729	449	540	498	850	774	645	1024	458	663	708	794	598	521
67868	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0
67869	7589	11379	14293	11312	7049	7770	7362	9964	11123	15499	5377	12751	12782	9573	7852	4686	6646	7557	7111
67870	1303	2154	2441	1998	1506	1581	1471	1456	1649	1934	1185	1260	1938	1494	777	801	968	1522	1414
67871	940	1384	1541	1101	929	934	1209	1060	1158	1601	657	1050	1378	1664	733	565	637	735	1026
67872	6270	13310	12354	15052	10440	5752	4216	6696	6987	8872	3505	3248	7171	2178	3431	2827	3990	3318	3004
67873	1514	1428	1934	1592	1569	1407	744	868	1722	2242	720	1754	1146	1057	1296	1085	1156	997	1206
67874	24	91	144	101	39	296	197	581	301	559	553	44	613	301	66	152	231	155	251
67876	595	953	941	1109	714	894	909	1202	1000	1607	1168	902	2137	1165	1064	930	958	1116	706
67877	2055	4040	3721	3319	2262	1831	1654	1904	2179	2778	1557	1285	2981	1787	1210	1141	1256	1990	1966
67878	4458	6524	7190	6827	4437	5536	5475	6391	6050	8528	5739	5757	12659	6958	7434	3209	5574	6781	4368
67880	580	652	742	794	626	184	112	230	217	217	418	303	118	153	150	129	118	118	103
67881	1092	1691	2343	2055	1505	1849	1380	1627	2200	2602	1410	1554	1748	1019	1396	917	1030	904	1603
67883	499	766	760	962	603	663	564	751	781	578	408	653	499	522	402	391	516	796	516
67884	753	1364	1530	1601	1200	749	676	785	619	943	491	646	1010	582	603	455	611	475	502
67885	693	1093	1206	962	763	618	520	995	876	1396	375	405	983	589	320	351	306	638	546
67886	5215	8118	8135	7663	5909	9813	11881	14012	10663	12924	9808	8963	12116	10298	8254	11222	8778	10402	7536
67887	5889	6365	6829	5064	4219	4062	3908	4151	5593	7082	4549	6112	4935	4372	4382	2916	2893	4848	3700
67888	437	1658	1253	1657	775	49	44	388	27	146	18	153	375	16	71	65	150	547	25
67889	2067	3135	3360	3481	2412	4078	3367	3255	3580	5451	4128	4122	6225	4773	3811	3234	3394	3765	3612
