Run 44	66.3604	65.2175	62.4394	57.2242	61.3147	1.0321	0.29	0.2684	0.2524	0.1669	0.1283	0.0988	0.0943	0.0891	0.0838	0.273	0.1412	0.0806	0.0835	0.0829
Run 45	59.8033	54.9359	67.6956	67.4494	70.3469	1.8646	1.3464	0.8541	1.6307	1.5733	1.4641	1.3699	1.3122	1.2518	1.1922	1.139	1.1104	1.0802	1.0342	0.9893
Run 46	59.0231	61.7769	52.7659	63.0735	59.8089	1.0095	0.8342	0.6246	0.3388	0.2949	0.3578	0.3168	0.2536	0.094	0.09	0.0918	0.0901	0.0895	0.0907	0.0894
Run 47	75.5043	61.2031	54.8717	58.6292	53.9184	1.8348	0.9783	0.8023	0.4485	0.3608	0.3319	0.2316	0.138	0.134	0.1294	0.1261	0.122	0.1176	0.1198	0.1171
Run 48	56.3359	60.7818	51.5777	72.8325	57.7017	1.0095	0.3274	0.1848	0.1681	0.156	0.4538	0.2348	0.1215	0.112	0.1281	0.129	0.1429	0.1431	0.1355	0.1345
Run 49	66.3246	55.1055	60.5059	65.0637	83.6744	2.2787	1.4628	0.5523	0.2132	0.1368	0.1087	0.0932	0.0939	0.0921	0.0877	0.0926	0.092	0.0879	0.0904	0.082
Run 50	65.126	56.6831	50.0107	53.504	57.2627	0.326	0.177	0.1122	0.1068	0.1055	0.1077	0.1054	0.1007	0.0959	0.0941	0.09	0.0899	0.0892	0.0891	0.0897
Run 51	63.6052	48.9777	71.2096	51.5841	55.6872	0.1554	0.1274	0.1516	0.1209	0.1193	0.1151	0.1103	0.1044	0.1039	0.1027	0.1075	0.1047	0.1028	0.1075	0.1029
Run 52	76.0827	45.6444	62.9393	53.7924	65.7263	1.8639	1.2147	0.8418	0.6636	0.3163	0.1546	0.1022	0.0863	0.0902	0.0914	0.0896	0.0865	0.0867	0.085	0.0849
Run 53	63.7701	74.8833	55.6914	55.1345	56.8048	1.6953	0.7285	0.1312	0.2039	0.1134	0.1096	0.103	0.1034	0.1019	0.0982	0.0824	0.0992	0.0983	0.4916	0.1297
Run 54	63.7071	64.6986	61.8314	64.3088	62.0196	1.8828	1.3493	0.9847	0.4592	0.3092	0.1255	0.1255	0.1245	0.123	0.1166	0.1175	0.1134	0.1088	0.1051	0.1093
Run 55	57.8914	66.0995	52.4102	66.3753	49.5735	0.775	1.0713	0.9249	0.8046	0.4979	0.1195	0.1155	0.1114	0.1067	0.1032	0.107	0.1074	0.106	0.105	0.1086
Run 56	71.3351	59.2497	61.1168	69.5008	67.905	1.8589	1.1047	0.3714	0.3477	0.2509	0.2074	0.1998	0.1838	0.1902	0.1737	0.1668	0.1485	0.1359	0.1088	0.1063
Run 57	65.5486	58.5865	74.5314	60.4082	49.251	1.5077	1.3412	0.8733	0.2976	0.1152	0.1104	0.102	0.0945	0.0893	0.0866	0.0853	0.0846	0.0839	0.0824	0.0834
Run 58	65.3989	80.4718	57.2903	58.9724	77.1192	1.8569	1.0343	0.3555	0.0976	0.0914	0.0882	0.0862	0.0828	0.0896	0.0874	0.086	0.0865	0.0857	0.0853	0.0858
Run 59	53.3892	55.1594	57.5571	58.7018	55.5185	1.2548	0.6422	0.4683	0.9404	0.7124	0.5245	0.1923	0.1156	0.1112	0.0962	0.1079	0.1057	0.1071	0.1036	0.0997
Run 60	63.1535	68.0811	73.4503	69.3982	51.7913	1.3444	0.3848	0.2482	0.1636	1.2971	1.2755	0.8585	0.7837	0.586	0.4328	0.1155	0.1141	0.1082	0.1019	0.0965
Run 61	62.3371	56.7806	74.5712	67.6332	66.2901	1.7375	0.5644	0.4134	0.3745	0.2514	0.9153	0.5384	0.5074	0.4891	0.4646	0.4382	0.4129	0.386	0.3545	0.3273
Run 62	55.691	50.7368	55.2361	54.6588	69.7307	1.5526	0.6675	0.3108	0.2123	0.1991	0.1602	1.7635	1.6448	1.5185	1.3906	1.2674	1.1228	0.8238	0.7566	0.6969
