"","b_cell.Control","b_cell.SLE","t_cell.Control","t_cell.SLE","P_Cell","P_SLE","P_Cell:SLE"
"100506394",3.01643464845744,1.32478041715125,0.997839919120532,1.04330703912772,0.0390771094410129,0.191799250932866,0.150747894805292
"6697",3.12303336403725,1.34732134349717,1.42477944145426,1.3583211606,0.158288817831452,0.112928196438155,0.150788143905574
"84443",13.6614998013177,6.93449732288509,5.13696559633476,5.44010184995797,0.0298498769582946,0.216801799410493,0.150832846686712
"55521",18.850025958501,10.2696208985945,6.3251593120964,7.35334116698254,0.0173995004990507,0.366682828508118,0.15097001629136
"6037",6.7713346563662,4.2301781209976,1.41783132411811,6.3650110499279,0.379608528886915,0.430453549441715,0.150980997460099
"7224",23.5654646785701,30.7790757506692,83.8432371021192,34.1243372700313,0.0985980739043364,0.414584197202556,0.151005923205463
"26133",104.692163937057,143.849882250118,161.739478695411,152.002534535791,0.0747168939617493,0.316495456041808,0.151079069521318
"7703",2.23859282652143,3.24294984084569,4.72107942648143,2.24182153042275,0.606271611458963,0.608980491717796,0.15117349377225
"4595",7.7993972246997,25.1198390564471,17.7040079932686,27.8542060537485,0.075127979971823,0.00703706308030634,0.151193275788394
"10001",99.310859383856,164.533414115208,127.170863889995,155.280107322594,0.353566692163865,0.00636879329066817,0.151230507779606
"197257",3.80774682689708,1.06812261883143,1.79692066830141,1.0757896019988,0.158156038931899,0.00575471516242962,0.151257341618288
"317648",21.3996247228459,39.2247596051932,44.6320725992125,49.3872869983879,0.0161845448271506,0.0569070890315507,0.151271724854492
"738",94.5123382755533,84.184904334304,60.3064745156442,87.8656054386425,0.226467256518135,0.425204452629432,0.151365066288768
"123920",33.6764231183693,22.0172764428539,36.1339914837702,37.6297511366845,0.0726648043797217,0.226637724428057,0.15136572058509
"54826",9.31731191083207,18.9093753617458,6.17060114608264,21.6543038438948,0.446348223583302,0.000462040634363085,0.151411331395639
"23411",660.149391548415,352.466311252105,462.410227746079,309.028166790129,0.00878330330480001,8.57007788049308e-05,0.15153092513423
"8858",9.28151776418046,2.16791203672128,2.51835827963694,2.04924904692711,0.122188015194954,0.0679787262382032,0.151547526442457
"149233",1.69086197205951,1.36281055749744,6.88309208804501,1.75325811473634,0.0521861822459104,0.0609715314388004,0.15157991131349
