"","Breast_GSM133995","Breast_GSM134000","Breast_GSM134005","Breast_GSM134010","Breast_GSM134015"
"1294_COL7A1",6.22,5.85,7.32,5.74,5.99
"1295_COL8A1",2.95,4.1,6.21,2.71,2.49
"1297_COL9A1",3.19,3.09,2.89,2.99,2.63
"1299_COL9A3",5.32,3.06,3.8,3.59,4.94
"1303_COL12A1",4.06,4.86,4.89,5.02,4.35
"1305_COL13A1",5.24,6.87,4.88,4.87,4.46
"1306_COL15A1",2.57,2.53,2.52,6.73,2.59
"1307_COL16A1",5.06,4.46,7.26,5.11,4.71
"1312_COMT",9.64,8.18,9.5,7.97,9.05
"1315_COPB1",5.38,7.05,6.68,5.97,6.31
"1317_SLC31A1",5.07,6.05,5.88,5.67,6.05
"1329_COX5B",9.06,8.36,8,7.66,8.17
"1346_COX7A1",6.07,4.88,8.97,6.86,5.36
"1353_COX11",6.12,7.21,6.3,5.83,6.88
"1363_CPE",2.69,2.89,4.39,2.92,6.04
"1364_CLDN4",7.61,7.54,6.12,6.69,8.45
"1365_CLDN3",8.96,4.86,5.01,4.59,9.9
"1366_CLDN7",8.08,5.39,4.58,4.98,7.73
"1371_CPOX",2.67,4.95,4.31,2.91,3.04
"1373_CPS1",4.04,3.94,4.87,4.02,3.93
"1374_CPT1A",5.92,5.28,5.41,5.58,6.43
"1376_CPT2",4.8,3.62,4.37,3.86,4.63
"1381_CRABP1",6.52,4.69,4.65,4.74,5.28
"1382_CRABP2",9.28,5.82,5.59,6.12,10.59
"1396_CRIP1",5.27,4.42,4.44,5.01,10.03
"1397_CRIP2",6.87,4.6,6.6,6.76,8.21
"1400_CRMP1",4.59,3.83,3.38,3.8,3.83
"1404_HAPLN1",3.39,2.76,2.92,2.98,3.1
"1407_CRY1",4.15,5.26,3.8,3.43,4.09
"1410_CRYAB",4.8,4.03,5.85,4.24,4.57
"1428_CRYM",4.67,4.34,4.27,4.82,4.43
"1429_CRYZ",5.17,5.66,5.37,5.05,5.72
"1452_CSNK1A1",6.65,7.29,7.37,7,6.49
"1459_CSNK2A2",4.03,4.41,4.57,3.9,3.78
"1462_VCAN",2.9,2.58,6.22,3.4,2.85
"1465_CSRP1",7.98,7.91,9.48,8.57,8.21
"1471_CST3",8.46,10.59,9.69,8.97,9.1
"1474_CST6",5.03,8.03,4.45,4.54,4.9
"1475_CSTA",4.74,3.07,4.7,3.19,3.2
"1476_CSTB",9.01,9.77,9.18,10.28,8.65
"1488_CTBP2",7.63,7.8,7.69,7.51,7.13
"1490_CTGF",4.37,9.34,10.73,10.3,4.89
"1495_CTNNA1",7.85,8.5,7.91,8.46,7.87
"1503_CTPS1",4.63,5.28,5.13,5.5,3.74
"1509_CTSD",8.39,8.51,7.25,7.07,9.91
"1511_CTSG",5.8,4.97,4.97,5.23,5.52
"1512_CTSH",6.55,6.43,5.33,5.52,6.34
"1514_CTSL",6.48,6.92,7.85,9.54,5.41
"1515_CTSV",3.93,4.11,3.66,4.52,5
"1524_CX3CR1",2.84,2.63,2.59,2.83,2.65
"1525_CXADR",2.96,3.42,2.51,4.22,4.72
"1528_CYB5A",7.53,6.72,6.7,6.27,8.02
"1535_CYBA",9.74,8.89,6.73,7.11,7.19
"1537_CYC1",9.46,8.82,9.34,9,9.27
"1545_CYP1B1",3.65,6.44,3.96,6.03,5.87
"1591_CYP24A1",3.91,3.59,3.54,3.58,3.83
"1593_CYP27A1",6.5,6.01,5.92,6.06,6.2
"1601_DAB2",3.36,3.67,6.58,5.44,3.35
"1604_CD55",4.19,6.46,5.36,4.59,4.72
"1605_DAG1",5.97,6.99,7.21,7.59,7.74
"1611_DAP",7.49,9.12,8.63,8.25,7.94
"1612_DAPK1",3.16,3.03,2.95,3.33,3.02
"1615_DARS",5.41,6.7,5.24,5.12,5.17
"1627_DBN1",6.85,6.4,7.34,7.07,6.3
"1632_ECI1",7.74,7.14,7.33,6.35,7.65
"1635_DCTD",6.06,8.11,7.37,6.59,6.98
"1638_DCT",3.46,3.27,3.25,3.37,3.26
"1643_DDB2",6.87,6.23,6.18,6.09,7.15
"1644_DDC",2.76,2.68,2.68,2.75,2.57
"1647_GADD45A",4.44,7.19,8.41,7.64,4.34
"1649_DDIT3",6.54,7.71,7.65,7.39,7.05
"1652_DDT",7.55,7.92,8.36,7.71,7.07
"1660_DHX9",5.12,4.42,5.17,4.35,4.43
"1662_DDX10",5.54,6.81,7.01,6.54,5.99
"1672_DEFB1",4.72,4.47,4.48,4.5,4.93
"1675_CFD",6.32,5.63,5.51,5.74,6.64
"1687_DFNA5",3.45,6.26,5.12,5.06,3.32
"1717_DHCR7",8.55,8.04,8.53,8.61,8.34
"1718_DHCR24",5.32,5.77,6.67,7.18,6.84
"1728_NQO1",7.37,7.01,8.27,7.94,7.82
"1738_DLD",6.28,6.62,5.74,5.44,5.2
"1756_DMD",2.53,2.46,4.61,3.76,2.53
"1759_DNM1",6.46,6.34,6.58,6.02,5.99
"1761_DMRT1",3.72,2.91,2.79,2.92,2.87
"1780_DYNC1I1",4.34,3.73,3.73,3.67,3.7
"1789_DNMT3B",4.97,4.41,4.73,4.32,4.41
"1794_DOCK2",3.93,4.28,3.11,3.6,3.42
"1803_DPP4",3.03,2.88,3.13,3.07,2.99
"1808_DPYSL2",5.54,7.76,8.99,9.3,5.19
"1809_DPYSL3",4.19,3.93,8.15,3.83,4.23
"1824_DSC2",5.89,4.46,4.84,5.82,6.26
"1827_RCAN1",3.14,4.35,4.03,3.46,5.17
"1829_DSG2",3.63,3.41,3.84,3.16,3.56
"1832_DSP",6.15,4.81,5.14,3.11,7.72
"1836_SLC26A2",6.62,4.72,4.78,4.31,4.41
"1839_HBEGF",4.88,6.07,4.74,5.39,4.4
"1843_DUSP1",6.02,5.29,6.07,5.51,5.37
"1846_DUSP4",4.81,5.44,4.1,5.54,5.01
"1847_DUSP5",4.54,7.31,5.1,5.34,5.09
"1848_DUSP6",2.95,7.27,3.63,4.59,3.82
"1875_E2F5",5,5.14,5.08,5.29,5.54
"1880_GPR183",2.56,2.59,2.69,2.87,2.52
"1889_ECE1",6.63,7.69,8.1,7.1,6.78
"1891_ECH1",8.62,7.91,8.03,8.26,9.43
"1893_ECM1",5.84,6.83,6.9,5.55,5.6
"1917_EEF1A2",10.07,6.31,6.91,6.17,9.7
"1942_EFNA1",6.15,5.04,5.07,5.94,7.19
"1944_EFNA3",8.14,5.85,6.13,6.41,8.56
"1948_EFNB2",2.89,3.18,3.93,3.56,2.72
"1953_MEGF6",4.21,3.52,5.51,7.45,4.28
"1955_MEGF9",5.94,6.18,4.48,4.83,6.37
"1960_EGR3",3.36,2.67,3.03,2.77,2.85
"1969_EPHA2",5.83,6.86,6.51,6.9,5.78
"1974_EIF4A2",8.73,9.75,10.01,9.03,10.25
"1978_EIF4EBP1",7.94,9.48,10.44,10.18,8.52
"1981_EIF4G1",4.86,5.3,5.5,5.11,5.79
"1991_ELANE",4.1,3.1,3.41,3.53,3.72
"1992_SERPINB1",5.72,6.73,5.6,3.96,4.67
"1993_ELAVL2",2.73,2.26,3.11,5.53,2.8
"1999_ELF3",7.08,6.25,6.34,6.3,6.81
"2000_ELF4",6.33,7.73,6.9,7.77,6.07
"2012_EMP1",3.71,4.51,4.04,4.55,3.72
"2014_EMP3",5.08,10.34,9.42,9.94,4.89
"2017_CTTN",8.22,8.66,8.21,8.87,8.66
"2020_EN2",3.34,3.22,2.5,2.56,2.62
"2022_ENG",5.95,5.16,6.92,5.5,5.68
"2026_ENO2",6.66,7.36,6.44,7.32,5.24
"2029_ENSA",8.92,8.21,7.67,8.03,8.83
"2030_SLC29A1",7.5,8.99,7.08,7.78,7.13
"2036_EPB41L1",4.59,5.09,4.69,5.03,4.73
"2040_STOM",6.9,5.6,7.5,8.03,7.67
"2042_EPHA3",2.75,2.68,2.77,3.09,2.69
"2048_EPHB2",5.55,5.04,5.05,5,4.84
"2051_EPHB6",5.63,3.65,3.72,3.61,4.44
"2052_EPHX1",5.42,4.11,4.69,3.83,4.42
"2058_EPRS",5.49,6.77,7.48,5.97,5.72
"2063_NR2F6",7.56,7.22,7.87,7.71,7.97
"2064_ERBB2",6.53,5.91,5.72,5.59,7.07
"2065_ERBB3",7.8,3.69,3.68,3.84,9.15
"2069_EREG",2.47,2.38,2.41,2.55,2.8
"2091_FBL",9.62,9.58,8.52,9.35,8.41
"2098_ESD",7.04,6.1,6.76,6.51,6.51
"2108_ETFA",7.48,6.56,5.9,5.26,8.06
"2109_ETFB",8.2,6.97,7.3,7.52,8.1
"2114_ETS2",3.49,4.5,4,4.21,3.52
"2118_ETV4",7.06,7.73,6.91,7.12,7.1
"2119_ETV5",4.93,7.46,7.73,6.27,4.87
"2123_EVI2A",3.11,5.57,4.15,3.14,3.09
"2124_EVI2B",3.46,5.25,2.8,2.92,2.91
"2131_EXT1",5.87,8.82,8.84,8.43,6.19
"2135_EXTL2",4.47,5.98,5.22,4.69,4.18
"2146_EZH2",7.54,7.72,6.74,8.12,6.16
"2149_F2R",2.29,3.58,2.65,2.57,2.22
"2150_F2RL1",4.34,4.93,3.89,3.89,3.93
"2152_F3",2.48,7.88,5.84,2.72,2.35
"2161_F12",8.6,6.22,6.19,5.82,6.58
"2168_FABP1",3.24,3.21,3.24,3.34,3.6
"2173_FABP7",3.71,3.38,3.41,3.49,3.34
"2180_ACSL1",3.49,4.82,4.41,4.43,5.13
