"","Breast_GSM133995","Breast_GSM134000","Breast_GSM134005","Breast_GSM134010","Breast_GSM134015"
"5355_PLP2",8.07,11.15,9.47,9.79,9.74
"5358_PLS3",7.41,8.21,9.67,8.52,6.92
"5359_PLSCR1",4.1,6.01,6.4,7.01,5.05
"5360_PLTP",4.79,5.09,5.54,6.23,5.53
"5366_PMAIP1",2.69,5.03,3.87,2.83,2.55
"5375_PMP2",3.33,3.34,3.5,3.77,3.52
"5376_PMP22",5.56,7.57,8.38,8.92,5.14
"5394_EXOSC10",5.3,6.08,6.4,6.93,5.68
"5396_PRRX1",2.98,2.92,4.66,3.9,3.26
"5412_UBL3",4.74,3.15,3.88,3.76,4.72
"5414_SEPT4",4.14,3.51,3.55,3.55,4.01
"5420_PODXL",4.7,8.13,4.49,4.93,4.36
"5422_POLA1",5.18,6.19,5.27,5.98,5.69
"5423_POLB",5.11,4.7,5.81,5.41,6.02
"5435_POLR2F",8.89,9.04,9.19,9.54,8.72
"5445_PON2",4.51,4.78,6.11,5.97,5.13
"5446_PON3",5.7,5.02,4.57,4.59,6.62
"5450_POU2AF1",2.76,2.53,2.63,2.68,2.5
"5454_POU3F2",2.84,2.5,2.67,2.88,2.56
"5464_PPA1",8.87,9.2,8.65,8.22,8.35
"5468_PPARG",3.66,4.4,3.45,3.96,3.25
"5476_CTSA",7.22,7.77,7.88,8.64,8.29
"5480_PPIC",6.41,4.98,6.87,5.62,6.8
"5499_PPP1CA",9.07,8.86,8.57,7.66,8.84
"5504_PPP1R2",5.07,5.36,5.37,4.77,6.33
"5516_PPP2CB",5.8,7.23,7.93,8.67,6.24
"5520_PPP2R2A",7.38,7.59,8.39,9.19,7.04
"5530_PPP3CA",4.72,6.15,5.12,4.11,4.79
"5532_PPP3CB",4.53,5.89,4.47,5.25,4.89
"5551_PRF1",7.32,6.7,6.84,6.91,7.04
"5552_SRGN",2.47,7.49,7.61,2.87,2.62
"5553_PRG2",5.22,4.54,4.55,4.96,5.01
"5557_PRIM1",5.83,6.01,5.41,5.61,6.1
"5570_PKIB",8.64,3.72,4.25,4.03,4.28
"5576_PRKAR2A",4.03,5.74,5.57,5.52,4.8
"5580_PRKCD",5.82,6.42,5.78,5.44,6.01
"5581_PRKCE",4.36,5.64,4.45,4.69,4.59
"5583_PRKCH",3.37,2.55,2.44,3.3,2.99
"5590_PRKCZ",5.33,4.47,4.06,4.03,5.03
"5591_PRKDC",5.07,5.76,6.5,6.91,5.99
"5603_MAPK13",4.9,5.47,2.96,2.91,5.84
"5608_MAP2K6",3.75,3.84,3.83,3.98,4.58
"5610_EIF2AK2",6.99,7.47,7.43,8.04,5.92
"5621_PRNP",2.83,7.91,7.2,6.46,3.69
"5627_PROS1",3.39,3.65,3.59,3.39,3.57
"5631_PRPS1",5.97,7.32,7.31,7.22,6.31
"5634_PRPS2",4.94,7.71,6.26,6.36,6.21
"5641_LGMN",7,6.86,7.76,7.13,7.03
"5646_PRSS3",6.16,5.78,5.84,6.16,6.21
"5649_RELN",3.11,3.18,3.38,3.23,3.36
"5652_PRSS8",7.13,5.57,5.46,5.55,7.07
"5653_KLK6",6.69,6.01,5.92,5.96,6.25
"5654_HTRA1",5.84,5.93,8.66,6.41,4.48
"5655_KLK10",3.51,2.7,2.81,2.75,2.93
"5657_PRTN3",4.94,4.66,5.05,5.1,4.82
"5660_PSAP",8.82,8.97,8.89,9.57,9.01
"5664_PSEN2",5.98,6.26,5.57,5.93,6.5
"5696_PSMB8",6.06,8.7,6.73,7.61,7.16
"5698_PSMB9",6.66,8.5,7.3,6.84,6.56
"5699_PSMB10",6.98,7.54,6.8,7.16,6.73
"5704_PSMC4",6.79,6.78,6.92,7,6.56
"5708_PSMD2",8.14,9.05,9.02,8.21,8.98
"5716_PSMD10",6.27,7.02,6.54,6.41,6.05
"5721_PSME2",8.9,9.87,9.57,10.12,9.23
"5734_PTGER4",3.11,3.92,4.73,5.83,5.49
"5744_PTHLH",2.59,2.43,2.64,2.73,2.42
"5763_PTMS",10.69,9.9,10.63,11,9.76
"5764_PTN",3.19,3.59,7.36,4.25,3.19
"5768_QSOX1",7.38,8.53,8.47,8.38,6.82
"5777_PTPN6",5.26,4.72,4.58,4.94,5.12
"5778_PTPN7",5.82,5.22,5.24,5.36,5.5
"5782_PTPN12",4.72,7.66,6.75,6.38,5.7
"5783_PTPN13",3.2,3.26,4.05,3.2,3.55
"5784_PTPN14",3.32,4.94,4.22,3.77,3.77
"5790_PTPRCAP",6.54,5.92,6.15,5.82,6.51
"5792_PTPRF",7.6,8.01,7.74,7.73,8.33
"5797_PTPRM",4.37,7.15,5.66,4.14,4.01
"5799_PTPRN2",3.66,3.06,3.14,3.3,3.23
"5801_PTPRR",2.87,3.67,3.15,3.57,3.1
"5805_PTS",5.35,7.07,6.65,6.14,6.21
"5806_PTX3",2.42,6.23,4.12,2.89,2.77
"5816_PVALB",4.08,3.31,3.5,3.71,3.36
"5819_PVRL2",7.5,7.95,6.79,6.59,7.76
"5825_ABCD3",5.03,7.68,6.85,6.04,5.54
"5827_PXMP2",6.33,6.38,6.34,5.6,6.47
"5831_PYCR1",7.98,8.3,8.23,7.55,8.13
"5834_PYGB",5.57,5.4,5.33,5.6,5.39
"5836_PYGL",4.91,8.29,6.63,4.95,4.63
"5860_QDPR",6.28,7.74,6.73,6.36,6.71
"5863_RGL2",6.75,6.7,5.87,5.47,7.2
"5870_RAB6A",3.78,4.89,4.97,3.95,2.92
"5876_RABGGTB",5.38,7.96,6.95,6.2,5.32
"5880_RAC2",5.78,8.27,5.52,5.7,5.68
"5885_RAD21",8.3,8.88,8.96,9.4,8.23
"5889_RAD51C",7.76,5.09,4.72,4.75,5.28
"5891_MOK",6.15,6.33,7.18,6.55,6.02
"5901_RAN",6.19,6.63,6.33,6.79,6.51
"5902_RANBP1",6.8,6.8,6.92,6.45,5.78
"5917_RARS",6.69,6.28,6.71,6.36,6.18
"5919_RARRES2",7.5,8.17,6.94,6.75,6.87
"5920_RARRES3",4.49,5.58,4.17,4.45,5.3
"5921_RASA1",6.05,8.56,6.11,6.96,5.88
"5928_RBBP4",4.67,5.02,4.78,6.01,3.91
"5937_RBMS1",4.36,6.48,6.33,5.8,5.06
"5947_RBP1",3.4,3.45,5.03,5.34,3.18
"5950_RBP4",3.05,3.02,3.58,3.65,3.27
"5954_RCN1",2.63,5,4.9,4.62,3.13
"5965_RECQL",3.19,4.47,4.21,3.9,2.96
"5973_RENBP",4.44,3.86,3.92,4.69,4.69
"5983_RFC3",6.18,6.57,6.31,6.87,5.94
"5997_RGS2",4.27,3.74,3.87,3.87,3.84
"6000_RGS7",3.16,3.9,3.29,3.24,3.3
"6001_RGS10",4.64,6.89,5,4.47,4.61
"6005_RHAG",3.67,4.02,3.86,4.26,3.87
"6035_RNASE1",3.83,3.59,3.76,4.01,3.86
"6036_RNASE2",4.4,3.6,3.76,3.67,3.88
"6038_RNASE4",4.37,4.38,4.5,4.14,4.42
"6049_RNF6",6.58,7,7.02,7.52,6.17
"6102_RP2",2.96,5.1,3.62,4.18,4
"6103_RPGR",3.79,5.02,3.85,3.96,3.82
"6124_RPL4",7.14,6.32,6.44,6,7.04
"6138_RPL15",8.93,9.36,8.68,9.47,9.45
"6146_RPL22",4.59,4.74,4.74,5.31,4.7
"6182_MRPL12",8.17,8.42,7.77,7.33,8.4
"6184_RPN1",5.36,6.07,6.78,7.3,6.65
"6185_RPN2",6.56,7.3,8.21,7.8,7.59
"6192_RPS4Y1",3.95,4.21,3.97,4.2,4.25
"6198_RPS6KB1",5.7,3.98,3.45,3.34,3.38
"6210_RPS15A",7.72,7.91,6.84,6.39,7.27
"6236_RRAD",5.1,4.93,4.74,4.62,4.7
"6237_RRAS",6.31,8,8.54,7.81,7.78
"6238_RRBP1",6.24,8.35,8.07,8.25,6.84
"6241_RRM2",7.99,9.43,9.1,9.04,7.24
"6271_S100A1",4.67,4.01,4.19,4.18,5.54
"6273_S100A2",5.05,7.11,5.32,6.99,5.19
"6275_S100A4",6.2,10.35,7.19,6.39,8.01
"6280_S100A9",3.8,3.69,3.52,4.02,4.57
"6281_S100A10",8.71,10.42,9.34,10.06,10.64
"6282_S100A11",9.97,10.57,10.09,10.55,10.78
"6284_S100A13",8.82,8.13,7.86,8.45,9.02
"6285_S100B",5.46,4.26,4.26,4.4,4.59
"6286_S100P",5,4.08,4.02,4.4,5.28
"6288_SAA1",5.38,8.8,2.83,2.52,3.35
"6301_SARS",3.67,5.86,4.63,3.15,3.39
"6302_TSPAN31",5.3,5.01,4.9,4.53,6.48
"6303_SAT1",4.52,5.41,6.19,6.85,6.58
"6307_MSMO1",6.03,7.24,8.27,7.19,5.57
"6314_ATXN7",4.95,5.02,4.85,4.64,3.75
"6318_SERPINB4",3.01,3.39,3.23,3.45,3.15
"6319_SCD",4.84,3.53,3.85,5.24,4.44
"6320_CLEC11A",6.55,6.17,6.08,6.46,6.57
"6322_SCML1",7.95,9.14,8.26,7.99,7.81
"6337_SCNN1A",5.96,5.22,5.22,5.28,6.58
"6342_SCP2",4.22,4.56,6.68,4.47,5.21
"6347_CCL2",4.35,4.13,4.72,5.49,4.63
"6352_CCL5",3.93,3.68,3.57,5.96,3.6
"6359_CCL15",5.69,5.09,5.09,5.54,4.91
"6364_CCL20",2.33,2.36,2.29,2.42,2.17
"6372_CXCL6",3.42,2.8,3.05,2.97,2.97
"6374_CXCL5",4.96,4.47,4.38,5.41,4.68
"6382_SDC1",6.92,8.27,8.09,7.88,7.57
"6383_SDC2",3.88,3.41,6.11,3.8,4.29
"6385_SDC4",7.53,8.01,7.31,8.62,7.79
"6387_CXCL12",4.47,3.18,4.99,3.37,5.1
"6390_SDHB",6.08,6.54,7.25,6.64,6.78
"6397_SEC14L1",4.91,7.45,6.29,5.37,5.52
"6399_TRAPPC2",5.12,6.67,5.76,5.52,5.67
"6414_SEPP1",2.32,2.53,2.34,2.61,6.76
"6415_SEPW1",8.56,8.3,8.99,7.82,8.68
"6422_SFRP1",3.07,3.17,3.41,6.38,2.93
"6432_SRSF7",4.94,5.47,5.38,4.77,4.87
"6446_SGK1",4.64,4.55,4.85,4.96,4.55
"6447_SCG5",3.18,4.78,6.87,3.33,3
"6450_SH3BGR",5.41,4.14,4.13,4.39,5.39
"6451_SH3BGRL",4.21,5.22,5.92,5.23,5.02
"6452_SH3BP2",5.03,6.14,4.91,4.9,5.18
"6464_SHC1",7.07,8.51,8.81,9.71,8.17
"6478_SIAH2",8.63,5.9,6.84,6.16,7.19
"6480_ST6GAL1",3.78,4.03,3.86,4.33,4.5
"6490_PMEL",6.39,5.94,5.86,6.04,6.46
"6491_STIL",3.31,5.04,4.95,4.92,3.31
"6492_SIM1",2.8,2.96,2.98,5.96,2.75
"6497_SKI",5.62,6.86,7.39,6.82,5.26
"6498_SKIL",4.2,4.58,5.78,5.37,5.81
"6502_SKP2",6.99,7.78,8.42,7.88,6.75
"6505_SLC1A1",3.26,3.02,3.73,3.4,3.4
"6509_SLC1A4",5.93,5.88,7.23,5.84,5.88
"6510_SLC1A5",7.87,8.75,9.4,8.18,7.85
"6515_SLC2A3",4.99,5.77,4.82,5,5.08
"6520_SLC3A2",9.3,9.3,10.01,9.12,8.97
"6533_SLC6A6",4.61,5.44,5.06,4.96,5.18
"6566_SLC16A1",3.59,3.06,5.12,5.06,3.49
"6574_SLC20A1",7.02,8.8,7.76,7.98,7.03
"6575_SLC20A2",4.65,4.74,5.4,5.1,4.86
"6576_SLC25A1",8.64,7.99,8.85,7.87,8.46
"6590_SLPI",5.74,5.32,5.41,5.59,5.54
"6591_SNAI2",2.62,3.18,5.48,3.3,2.62
"6594_SMARCA1",3.33,5.76,5.08,5.47,5.58
"6595_SMARCA2",4.78,5.71,5.46,4.18,4.87
"6597_SMARCA4",7.28,7.73,7.51,7.86,6.9
"6604_SMARCD3",5.38,5.08,7.07,5.81,4.87
"6605_SMARCE1",7.36,7.84,7.28,5.1,9.05
"6609_SMPD1",5.65,6.77,6.78,5.33,5.58
"6617_SNAPC1",4.71,5.43,5.07,4.34,3.58
"6623_SNCG",7.82,7.57,7.38,7.47,10.03
"6624_FSCN1",6.42,5.64,9.19,7.88,5.52
"6629_SNRPB2",10.14,10.84,10.05,10.64,10.32
"6636_SNRPF",8.71,8.31,7.58,8.4,8.21
"6641_SNTB1",3.2,3.02,3.64,3.09,3.16
"6648_SOD2",5.4,6.07,6.12,8.73,4.3
"6659_SOX4",6.27,3.01,7.22,6.61,5.42
"6660_SOX5",3.27,2.66,2.77,2.84,3.08
"6662_SOX9",5.41,7.28,5.16,5.67,5.01
"6663_SOX10",6.76,5.73,5.75,5.95,5.86
"6664_SOX11",2.88,2.83,2.67,5.94,2.85
"6672_SP100",3.52,4.39,4.43,4.26,3.62
"6675_UAP1",3.58,6.43,6.49,8.45,4.18
"6678_SPARC",5.44,4.97,11.59,10.12,5.84
"6692_SPINT1",7.43,6.46,6.48,6.59,9.1
"6695_SPOCK1",4.33,4.08,8.42,7.29,3.85
"6696_SPP1",2.75,3.26,3.61,3.34,3.05
"6697_SPR",7.04,6.92,5.77,4.96,6.2
"6713_SQLE",3.92,2.79,4.82,5.2,3.61
"6715_SRD5A1",4.96,5.75,5.11,4.9,4.32
"6717_SRI",2.67,3.63,2.92,3.21,3.05
"6723_SRM",10.04,10.33,10.94,10.71,9.32
"6732_SRPK1",4.49,7.37,5.37,5.63,4.48
"6747_SSR3",9.37,9.9,10.33,9.02,9.36
"6760_SS18",7.49,7.46,7.82,7.6,6.8
"6764_ST5",4.87,5.54,5.64,5.59,4.71
"6768_ST14",6.84,6.53,6.46,6.53,8.52
"6769_STAC",4.1,4.95,5.39,5.56,4.2
"6770_STAR",3.42,3.54,3,3.58,3.58
"6772_STAT1",4.9,5.43,6.55,5.68,5
"6773_STAT2",6.83,7.5,7.45,7.09,7.1
"6776_STAT5A",2.79,3.2,3.02,2.86,2.87
"6781_STC1",4.62,6.44,4.1,6.08,4.23
"6788_STK3",4.34,5.04,5.27,6.28,4.4
"6812_STXBP1",5.96,7.09,6.65,6.8,5.37
"6813_STXBP2",5.94,6.35,4.48,5.04,6.58
"6820_SULT2B1",7.69,5.27,5.24,5.27,6.72
"6836_SURF4",6.95,8.22,7.92,7.98,7.09
"6845_VAMP7",6.28,7.42,6.73,7.46,6.96
"6850_SYK",4.12,3.54,3.54,3.73,4.28
"6856_SYPL1",8.43,9.03,8.05,7.86,7.71
"6862_T",5.01,4.54,4.73,4.8,4.61
"6867_TACC1",6.96,8.49,8.97,9.02,8.17
"6875_TAF4B",4.4,4.99,4.55,4.49,3.98
"6876_TAGLN",9.58,9.18,12.46,11.77,9.35
"6880_TAF9",5.54,7.19,6.73,6.97,6.52
"6882_TAF11",8.46,6.65,7.94,6.7,7.15
"6888_TALDO1",8.3,9.3,9.12,7.69,8.8
"6897_TARS",6.08,8.31,8.37,7.4,5.76
"6903_TBCC",4.34,6.07,5.18,4.63,4.86
"6907_TBL1X",6.37,7.23,7.66,6.34,5.81
"6928_HNF1B",6.19,5.6,5.53,5.61,5.65
"6932_TCF7",5.42,5.51,5.83,5.67,5.5
"6934_TCF7L2",4.78,5.74,5.35,5.09,5.26
"6938_TCF12",3.98,5.38,5.43,4.95,4.93
"6940_ZNF354A",4.17,3.9,3.64,4.37,3.71
"6990_DYNLT3",3.61,6.35,5.71,2.85,4.43
"6993_DYNLT1",7.13,7.75,7.98,8.34,8.16
"7001_PRDX2",10.61,8.87,8.01,8.72,9.28
"7004_TEAD4",6.26,5.82,6.07,6.49,6.67
"7009_TMBIM6",8.67,8.8,8.08,8.15,9.35
"7013_TERF1",5.25,5.42,6.83,6.83,6.11
"7020_TFAP2A",7.57,6.5,7.87,7.87,8.18
"7022_TFAP2C",7.43,4.79,4.14,6.12,7.25
"7025_NR2F1",4.11,3.61,4.61,3.95,3.85
"7026_NR2F2",3.37,4.32,2.98,4.5,3.71
"7027_TFDP1",6.37,6.78,6.77,7.14,6.52
"7031_TFF1",12.29,4.88,4.93,5.15,6.74
"7035_TFPI",3.78,6.08,6.4,4.3,2.85
"7037_TFRC",5.43,5.13,5.41,5.08,6.54
"7039_TGFA",2.98,3.03,3.31,3.11,6.09
"7041_TGFB1I1",6.17,6.36,8.27,7.14,6.01
"7042_TGFB2",3.78,6.89,8.1,4.51,3.66
"7045_TGFBI",4.2,5.97,10.6,9.37,4.2
"7049_TGFBR3",4.53,5.07,4.77,5.73,4.54
"7052_TGM2",5.39,8.84,4.96,5.7,5.28
"7054_TH",4.92,3.87,4.06,3.85,4.12
"7057_THBS1",5.87,6.54,6.81,5.74,5.58
"7058_THBS2",4.99,5.27,5.08,6.32,5.63
"7070_THY1",5.97,5.45,9.41,8.2,5.84
"7071_KLF10",4.05,4.76,5.1,4.77,3.97
"7076_TIMP1",7.69,10.7,9.78,9.77,7.57
"7077_TIMP2",5.62,8.77,8.44,8.54,7.2
"7078_TIMP3",5.91,5.91,8.17,5.62,5.57
"7083_TK1",9.38,9.36,9.11,8.17,9.5
"7088_TLE1",5.39,6.23,4.9,5.69,5.38
"7094_TLN1",3.54,5.14,4.81,5.31,3.84
"7099_TLR4",4.6,4.76,5.85,4.84,4.82
"7102_TSPAN7",3.15,2.99,3.01,3.1,3.4
"7103_TSPAN8",3.14,3.14,2.92,3.08,3.03
"7104_TM4SF4",3.22,3.02,2.92,3.11,2.92
"7106_TSPAN4",6.67,7.84,7.16,6.24,7.24
"7107_GPR137B",2.73,2.72,2.28,2.78,3.39
"7112_TMPO",7.48,7.99,7.08,7.08,6.76
"7126_TNFAIP1",5.68,6.49,6.03,6.51,6.36
"7127_TNFAIP2",6.69,8.55,6.87,6.19,7.12
"7128_TNFAIP3",4.92,5.21,5.97,5.76,4.74
"7130_TNFAIP6",3.38,3.42,4.69,3.59,3.56
"7132_TNFRSF1A",6.98,7.57,7.56,8.12,6.55
"7133_TNFRSF1B",5.99,6.49,5.93,6.1,5.95
"7134_TNNC1",6.32,5.7,5.68,5.98,6.72
"7137_TNNI3",2.85,2.49,2.45,2.57,4.98
"7138_TNNT1",9.19,8.13,7.92,5.66,8.29
"7153_TOP2A",6.18,6.86,6.41,6.2,5.74
"7162_TPBG",4.03,4.23,5.09,4.62,5
"7165_TPD52L2",5.88,7.61,7.51,7.65,7.31
"7168_TPM1",5.79,7.67,10.41,9.32,8.11
"7169_TPM2",5.98,6.11,10.91,9.73,5.76
"7171_TPM4",5.38,8.4,9.35,8.37,2.85
"7187_TRAF3",4.27,5.8,5.26,5.36,4.45
"7204_TRIO",6.07,6.98,6.91,6.25,5.3
"7205_TRIP6",9.59,8.83,8.91,9.23,6.92
"7216_TRO",5.72,4.97,5.21,5.38,5.34
"7262_PHLDA2",7.18,7.93,8.41,5.63,6.05
"7263_TST",7.98,7.43,6.32,7.11,7.22
"7272_TTK",6.41,6.75,7.13,7.1,5.69
"7280_TUBB2A",5.61,8.46,9.79,8.83,6.14
"7290_HIRA",5.6,5.34,5.49,5.24,4.61
"7291_TWIST1",3.6,4.12,5.25,5.72,4.35
"7296_TXNRD1",7.6,9.62,8.86,8.74,7.8
"7298_TYMS",7.14,9.28,8.25,7.39,6.85
"7305_TYROBP",4.32,3.66,3.5,3.81,3.65
"7306_TYRP1",2.99,2.45,2.61,2.94,3.34
"7314_UBB",11.81,11.9,11.66,12.01,11.49
"7324_UBE2E1",4.25,5.57,5.17,4.94,5.05
"7325_UBE2E2",4.3,5.3,5.58,5.84,4.91
"7326_UBE2G1",5.54,6.6,6.61,6.88,5.66
"7345_UCHL1",5.53,4.39,4.59,8.99,4.82
"7347_UCHL3",5.05,7.26,6.18,6.34,6.22
"7348_UPK1B",3.31,3.34,3.47,3.38,3.56
"7351_UCP2",8.75,8.98,6.31,8.68,9.03
"7357_UGCG",3.68,5.61,4.27,5.58,4.83
"7358_UGDH",5.62,6.58,8.82,7.46,5.6
"7364_UGT2B7",2.84,2.83,2.58,3.14,2.69
"7368_UGT8",4.06,4.67,3.62,3.69,3.33
"7374_UNG",8.61,8.37,6.4,7.41,8.41
"7378_UPP1",6.62,8.65,7.67,7.21,6.09
"7385_UQCRC2",8.18,7,6.97,7.26,8.38
"7388_UQCRH",11.16,10.73,11.02,11.7,10.95
"7398_USP1",4.86,5.97,6.13,5.84,4.51
"7409_VAV1",4.44,3.31,3.39,3.31,4.56
"7412_VCAM1",3.47,3.54,3.45,3.58,3.61
"7414_VCL",5.95,7.9,8.3,8.1,6.69
"7417_VDAC2",4.85,5.99,6.2,4.71,6.01
"7419_VDAC3",8.95,9.58,10.14,10.82,10.54
"7422_VEGFA",4.86,8.51,8.25,7,4.46
"7424_VEGFC",3.61,4.56,5.91,3.71,3.34
"7425_VGF",8.49,7.03,6.16,7.87,6.44
"7429_VIL1",3.47,3.02,2.95,2.96,2.92
"7430_EZR",5.4,6.26,5.46,6.37,5.77
"7431_VIM",5.78,10.32,11.24,10.61,5.64
"7436_VLDLR",4.4,4.29,5.05,5.5,3.49
"7443_VRK1",5.49,6.77,5.26,5.99,5.97
"7444_VRK2",5.6,6,6.59,5.69,5.89
"7448_VTN",4.71,4.37,4.52,4.19,4.28
"7454_WAS",3.39,4.06,4.24,3.67,3.53
"7464_CORO2A",4.38,4.94,4.08,4.2,4.61
"7466_WFS1",6.05,5.8,6.26,5.98,7.18
"7474_WNT5A",3.97,4.23,5.81,4.22,4.25
"7485_WRB",7.1,5.25,5.95,5.78,4.99
"7494_XBP1",6.76,4.18,5.94,3.7,7.86
"7508_XPC",5.87,5.83,5.91,6.37,6.76
"7525_YES1",4.47,6.2,5.66,5.11,5.12
"7535_ZAP70",6.33,5.76,5.85,5.94,5.96
"7538_ZFP36",5.99,6.08,6.76,6.37,6.74
"7570_ZNF22",6.19,7.25,6.79,5.17,4.77
"7586_ZKSCAN1",6.7,6.53,6.16,5.96,5.56
"7594_ZNF43",3.08,3.52,3.27,2.84,3.08
"7703_PCGF2",7.11,7.72,6.87,6.45,7.94
"7705_ZNF146",8.3,8.71,8.64,8.74,7.52
"7718_ZNF165",4.04,2.88,2.44,2.41,3.7
"7739_ZNF185",4.38,5.8,3.81,4.22,5.7
"7764_ZNF217",6.09,5.29,5,5.93,5.37
"7775_ZNF232",5.12,5.28,5.53,5.63,5.16
"7786_MAP3K12",4.75,5.44,4.81,5.61,5.6
"7791_ZYX",7.42,8.36,9.79,8.57,7
"7803_PTP4A1",7.82,7.91,6.26,7.66,5.55
"7805_LAPTM5",5.08,5.55,4.8,4.9,4.92
"7837_PXDN",4.43,5.92,8.12,6.32,5.07
"7849_PAX8",5.49,5,4.79,5.22,5.27
"7850_IL1R2",4.4,4.02,3.88,4.09,4.32
"7852_CXCR4",3.79,3.77,3.42,3.88,3.47
"7857_SCG2",2.64,3,4.12,3.64,2.6
"7867_MAPKAPK3",5.76,7.13,5.51,5.68,5.95
"7869_SEMA3B",5.16,5.28,4.9,4.59,4.95
"7884_SLBP",4.49,6.13,5.21,5.35,5.19
"7905_REEP5",7.94,7.04,6.41,6.75,9.47
"7913_DEK",7.53,9.5,8.56,8.63,7.71
"7915_ALDH5A1",4.08,3.67,3.9,3.61,4.98
"7920_ABHD16A",6.94,7.45,7.45,6.59,7.35
"7923_HSD17B8",6.94,6.35,5.66,6.07,8.43
"7975_MAFK",6.67,6.75,6.9,6.74,7.28
"7980_TFPI2",3.07,3.2,2.97,2.64,2.86
"7982_ST7",6.43,6.83,7.26,6.29,6.32
"7984_ARHGEF5",6.22,5.78,5.49,5.58,6.16
"7994_KAT6A",6.22,6.81,7.21,7.18,7.36
"8027_STAM",6.26,7.55,6.72,8.37,6.81
"8031_NCOA4",5.86,7.26,6.82,6.82,7.18
"8038_ADAM12",3.05,3.41,6.9,5.62,3.41
"8061_FOSL1",7.26,10.28,8.87,7.68,7.28
"8065_CUL5",5.29,6.82,6.22,5.95,6.62
"8073_PTP4A2",4.95,6.6,6.56,7.14,7.43
"8076_MFAP5",2.95,2.68,3.07,3.05,2.82
"8082_SSPN",2.81,2.91,4.89,2.7,3.02
"8089_YEATS4",4.65,4.98,3.6,3.73,4.44
"8111_GPR68",4.81,5.56,4.12,4.4,4.45
"8140_SLC7A5",10.27,9.71,10.38,9.44,9.12
"8148_TAF15",8.17,8.73,8.17,7.85,8.8
"8190_MIA",2.4,2.86,2.57,2.5,2.54
"8202_NCOA3",9.68,6.52,6.95,7.04,7.2
"8204_NRIP1",4.41,3.42,4,3.1,4.74
"8226_HDHD1",6.75,7.44,6.25,6.02,6.52
"8270_LAGE3",10.17,9.09,8.45,9.75,9.38
"8323_FZD6",5.99,6.45,7.09,6.6,2.59
"8324_FZD7",3.84,6.11,5.81,5.11,4.09
"8343_HIST1H2BF",6.83,6.51,5.65,4.92,6.93
"8351_HIST1H3D",3.94,2.7,3.23,2.9,3.86
"8364_HIST1H4C",6.84,7.66,7.45,6.68,6.58
"8379_MAD1L1",6.94,6.85,6.99,6.75,6.41
"8395_PIP5K1B",3.49,2.82,3,3.26,2.87
"8406_SRPX",5.53,7.4,6.39,5.84,5.64
"8409_UXT",5.32,7.15,5.97,6.9,6.61
"8412_BCAR3",4.29,6.38,5.78,6.24,5.04
"8416_ANXA9",5.02,3.33,3.38,3.7,6.38
"8418_CMAHP",3.31,3.02,4.21,2.87,3.17
"8436_SDPR",2.48,3.61,2.82,2.89,2.35
"8440_NCK2",5.86,7.65,7.28,6.54,6.51
"8444_DYRK3",3.98,4.46,4.02,4.82,3.43
"8445_DYRK2",6.3,7.64,6.54,7.38,6.66
"8450_CUL4B",7.16,8.38,7.97,8.38,7.1
"8459_TPST2",3.97,5.71,6.05,4.43,4.43
"8460_TPST1",5.6,5.08,5.39,5.07,4.88
"8496_PPFIBP1",4.89,5.58,6.23,6.01,5.02
"8508_NIPSNAP1",8.7,6.99,7.79,7.47,8.44
"8514_KCNAB2",7.05,6.76,6.74,6.82,6.87
"8519_IFITM1",6.99,7.64,3.76,10.91,6.03
"8520_HAT1",4.02,5.85,5.91,4.43,5.03
"8522_GAS7",3.85,3.1,2.95,3.31,3.19
"8525_DGKZ",8.51,7.87,7.22,7.24,8.24
"8530_CST7",5.11,4.97,4.47,4.39,4.53
"8531_YBX3",4.89,5.88,5.92,6.14,4.52
"8533_COPS3",6.83,7.74,7.71,7.87,6.76
"8535_CBX4",7.45,6.24,7.37,6.08,7.36
"8536_CAMK1",6.36,6.98,6.61,6.32,5.65
"8542_APOL1",2.84,3.04,3.25,3.16,2.84
"8544_PIR",6.62,5.24,6.14,5.29,6.18
"8553_BHLHE40",5.33,5.69,6.4,6.08,6.57
"8560_DEGS1",5.54,7.92,8.14,7.32,6.17
"8562_DENR",3.48,4.77,4.07,3.65,3.99
"8565_YARS",6.7,8.19,8.85,8.61,6.95
"8601_RGS20",3.35,4.33,4.84,4.32,3.3
"8609_KLF7",7.21,6.38,8.2,7.7,7.13
"8611_PPAP2A",3.55,4.9,5.06,4.7,5.03
"8612_PPAP2C",7.12,7.22,6.45,7.08,7.12
"8613_PPAP2B",3,3.42,4.09,4.63,2.97
"8614_STC2",5.19,4.04,8.78,8.44,9.66
"8623_ASMTL",6.16,6.08,6.1,5.78,4.89
"8624_PSMG1",4.94,6.59,6.08,5.49,5.16
"8635_RNASET2",6.62,7,6.05,5.13,6.03
"8638_OASL",4.97,5.14,4.64,5.5,4.89
"8644_AKR1C3",5.04,4.21,6.92,4.05,3.82
"8660_IRS2",5.92,5.93,5.44,5.62,5.28
"8667_EIF3H",7.62,8.36,8.41,8.69,8.66
"8672_EIF4G3",4.2,5.84,6.14,6.07,5.09
"8673_VAMP8",9.38,9.78,6.9,6.84,9.54
"8682_PEA15",6.87,9.42,9.18,8.78,8.15
"8702_B4GALT4",5.51,5.64,6.56,5.45,6.24
