"","WT_00Hr_1","WT_00Hr_2","WT_00Hr_3","WT_02Hr_1","WT_02Hr_2","WT_02Hr_3","WT_04Hr_1","WT_04Hr_2","WT_04Hr_3","WT_06Hr_1","WT_06Hr_2","WT_06Hr_3","WT_08Hr_1","WT_08Hr_2","WT_08Hr_3","WT_10Hr_1","WT_10Hr_2","WT_10Hr_3","WT_12Hr_1","WT_12Hr_2","WT_12Hr_3","WT_14Hr_1","WT_14Hr_2","WT_14Hr_3","WT_16Hr_1","WT_16Hr_2","WT_16Hr_3","WT_18Hr_1","WT_18Hr_2","WT_18Hr_3","WT_20Hr_1","WT_20Hr_2","WT_20Hr_3","WT_22Hr_1","WT_22Hr_2","WT_22Hr_3"
"11522",0.0731487573261826,-0.175119830937111,0.0992573246151318,0.123720623453216,-0.0146691646816559,0.0538420276379331,-0.0676105523197273,-0.317463764630816,-0.338257870198475,0.120205040359996,-0.00529100593416686,-0.127733510834319,-0.011017217165691,-0.144585462069605,-0.0469602859552423,0.125336522297137,-0.0459257540885142,0.0163178373695701,0.277452058708868,-0.543202367830614,-0.0241845244678161,0.217495229631815,0.11923424882484,-0.0348617904817254,0.00701769980068463,0.166090641924993,0.136917686186538,0.184560348810719,-0.0100901204606982,0.119271937082127,0.202448403578875,-0.328646862752444,0.0526789419623462,0.0244430049244147,0.108089843015001,0.00809190729823441
"11529",0.000419934273368252,-0.0214556006466491,-0.0966927970360139,-0.178696968629445,-0.0680669115134546,-0.180544080728152,-0.327282318604041,-0.313695375747561,-0.25374027990065,-0.370336597343515,-0.340880918768449,-0.198097907874205,0.0516873857382864,-0.21015411743979,-0.353402299201618,-0.0726794911806023,-0.312691082874807,-0.181323940671853,-0.142350424510628,0.420535145014872,0.0246345668595706,0.179578411442128,0.338715166831915,0.328218002790849,0.0889581328998535,0.329749414994263,0.130509688353894,0.0768470514085046,0.398812843072119,0.177713395029682,0.00134191827181125,0.64478836328847,0.147712036450282,0.17861818225613,-0.0294307331741093,0.132682206869545
"11534",-0.144365986046954,-0.0918281410136021,0.0911102021720155,-0.0705514954149744,0.0280200489207302,0.0920587792724148,-0.0638180312701797,-0.069524403721319,0.0657520414656286,-0.0539212579915025,-0.0264228976088666,0.147576523779201,-0.0382752513699579,-0.00603950180237931,0.105456625449422,0.0731305450987543,-0.0832059919394984,0.0954517684230177,-0.0933267294994203,-0.0497696654170735,0.218733246077698,-0.0317661054725937,-0.034527567679054,0.148501805222733,-0.0229860795633655,0.0698949159799064,0.172940629186524,0.0369715175410461,-0.0839518532839236,0.262731122117786,-0.113632984815138,-0.502228813222993,0.123881600443557,-0.0831259470454273,-0.119808544424612,0.0508658774523999
"11537",0.22465063398043,-0.170105231299455,-0.199115226850233,0.31847164438315,-0.0420868803429839,-0.0978262660107345,-0.15325828359261,-0.163453142965121,-0.0556309751804464,-0.123348963910033,-0.0525111758283381,0.134470632941024,0.800231141988576,-0.100668258313161,-0.012041352765042,-0.146770284147597,-0.149024117837271,-0.0686278316712941,0.43215515094793,-0.0756670354890457,-0.123782845075401,-0.108182547264804,-0.123256712120538,-0.0440683593123917,-0.214136651811732,-0.219873503349778,-0.0759840356069593,0.035965146762336,-0.125058582032846,-0.102634366673573,-0.0438807197078995,1.0807882244571,-0.172624819928462,0.197596828499025,-0.127329198426178,-0.133382036445641
"11538",-0.0716038786189487,0.0407117018476943,0.0117515899373087,-0.0266606025679516,-0.153337140954601,0.0468895653661607,-0.0502560625299365,0.130295645723465,0.0917586032617812,-0.0710111865284125,-0.0518626313561407,-0.0622730174109787,0.100025796568292,0.0827412126111459,0.290126849710257,0.0187399268975997,-0.0597226173756619,-0.0450449921123626,0.0486584774406119,0.251438249247564,0.0252552694521804,-0.170661372902396,-0.066399357941114,-0.0667636355509357,-0.12861323670544,-0.12799335840238,-0.148876721173342,-0.128766043526523,0.00483228781837196,0.0898796482364,-0.00674226699899493,-0.097685670630634,0.304126929343765,-0.0440586162187127,-0.0766299173869195,0.117730573429788
"11546",-0.0554959438435262,-0.0664458563728515,0.174766478419195,0.0405097953571915,0.0359212344711701,0.241951485977344,0.108270341177258,0.11310047123552,0.111026896330691,0.134424829962888,0.157597428535023,0.221184112467507,-0.0193941236888384,0.00771180396390848,0.162696195145573,-0.124012498873202,-0.0840172780351932,0.0187930044186768,-0.149994998008139,0.0757409062010806,-0.0665452931503523,-0.231793159559725,-0.18099058882197,0.00297703153979984,-0.215513378117298,-0.057732645662091,-0.0345669127969241,-0.0847400835444874,-0.0691777214617225,-0.0129220535989716,-0.0262853476196356,0.0310095761653532,-0.1691804504178,-0.159264913232266,0.0243554268449843,0.146036228591829
"11565",0.0208531533805006,-0.00342666511379676,-0.0110854184968256,0.0842842799934694,-0.0449451147346174,-0.0934635773908854,-0.0331495485340093,-0.0645870778519586,-0.136792726453269,0.202992790652892,-0.0560037564496461,0.108921172693123,0.187983496592656,0.0962163791345405,0.0438119357347462,0.14523070010573,-0.0416634876472853,0.0205844191859699,0.159735174598955,0.212226350167518,-0.00493728771275958,0.0719311622699897,0.0105310080074099,-0.0526426605880555,0.0531622505972608,0.0476865555767674,-0.0615464950274398,-0.0536369931355822,-0.123446155111024,-0.114271125057146,0.0171969624173599,-0.124058803016038,-0.241186547395127,-0.0347286284171943,-0.0728114217186232,-0.114964301257607
"11566",-0.121686036009914,-0.0755231495679742,-0.158075999374095,-0.0713051091679564,0.0783000624855494,0.0975244103728702,-0.0530640728841021,-0.10253713657109,-0.0341054284500294,-0.0440282269665273,0.0221378243043928,-0.00220632872254929,-0.101944553348754,0.0132645296936898,0.0574525054149729,0.0200515873472313,-0.0482863783924471,0.0315140215169698,0.150832372676027,-0.132942647849274,0.0609543911391034,0.157006399666983,0.124205997305342,0.169696961351516,-0.061395348171717,0.089718154215706,0.120467973873952,-0.161343584284607,0.117066755996112,0.126627155280687,-0.137780528679028,-0.212084088349286,0.143872488159829,-0.147287569473366,0.0523786056458362,0.0325239898159475
"11607",-0.0575033729298939,0.0273799931570996,0.312142702578912,0.0989647876135377,0.145625630819769,0.134038601593663,0.0406126053019673,0.267149710747312,0.179520097372036,0.587766766131997,0.457327047544159,0.547729970335859,0.400543029087307,0.440670721568,0.578037089965534,0.118824945268786,0.0209630828579262,0.239604120730408,-0.0523767849757047,0.041563781575188,0.0179807971776696,-0.401513310022928,-0.409693361306672,-0.364013330208501,-0.823609496842667,-0.688027271917881,-0.562217100163954,-0.395559806087433,-0.487773141234181,-0.329216398589453,0.0159933407765936,-0.505007841506581,0.0562199890026972,0.0798639658852837,0.0632211624349756,0.204767276259168
"11629",0.0694223172886031,-0.0481252736575354,0.0573659726252826,-0.121780993704154,-0.0943925916201182,0.0226913122160168,0.0647989835420786,0.0460009655633874,0.0735199295291925,-0.0867589724835672,0.0458868887654132,0.0841316365085059,-0.143878221597483,0.080024260418409,0.0497200993781423,-0.0575579972789889,0.0559763362054529,0.0326670559076032,-0.0407408407877553,0.586385892187505,-0.0602985857467395,-0.0855171331915438,-0.0156036597924028,0.0686981796332695,-0.151713208829448,0.203172123016906,-0.00782250428495076,-0.142564156712611,-0.0681620785022481,-0.0795612555644398,-0.0843113082694392,-0.00689243654753302,-0.12802917262302,-0.166469162814275,0.0116883222106347,0.0380292790118507
"11647",-0.139197431651954,-0.0422289283026229,-0.0927588421269259,-0.209487999463315,-0.0950822351281524,-0.0424548813488807,-0.165620151342389,-0.15723336081718,-0.023023020425285,-0.0936277869759641,-0.109676546194724,-0.263435125042264,-0.155118248799074,-0.155562987622266,-0.0472960649872308,0.0653330254931286,-0.029333397659428,-0.0522954703206247,0.0299565498595121,-0.0226609847794525,0.00415788828243647,-0.0523367422936588,0.0818948665209909,-0.0550642193451632,0.342402099287693,0.128135573926559,0.144381258638478,0.216581332914265,0.208936779206461,0.332454675240549,0.199817511713395,0.0882155123043963,0.0252293507430839,0.12223307342222,-0.0277679790328201,0.0415329061062074
"11655",-0.298695071243217,-0.295798767474382,-0.234970753117258,-1.56852425946103,-0.179181499001875,-1.75608258961595,-0.212521191425872,-2.19688854715571,-0.367016246349286,-1.41000379073173,-2.12575629481457,0.0954684090870619,-0.266816220646848,-0.854929028084787,-1.11614167510449,1.30060945127238,0.024287122843573,0.985279719509477,0.951075806400188,0.887291330857955,1.40786839667931,1.26199705876367,1.18471170237007,1.4374729730814,0.805355608773095,1.18486242108268,0.892319956350195,0.941140015351484,0.782125772429379,0.156367509767957,0.305028546041605,-0.0400014846056028,-0.264393780075051,0.0370350327371803,-1.14882436669791,-0.303751267793087
"11666",-0.118545006821966,-0.049570836558854,0.114784615447978,-0.0298142352561558,-0.061910140392376,0.232036941336245,-0.0377216301118852,-0.0911178659272214,0.120510635045201,0.0563058338876781,0.0270854744215234,0.00192235752390079,-0.0667555222427205,0.109821195624433,-0.00378105258401149,0.0188816653132396,0.00773326859135388,0.113357852547381,-0.0957346259883832,-0.373094197308627,0.0781026509295197,-0.100502739774257,-0.128566570101154,0.120843202711613,0.0357528987689832,0.00709915036773391,-0.0722377505907499,0.201813003811847,-0.0470786542586753,0.0384163769052707,0.0721502709692349,-0.162383512492718,0.018052664811397,0.129593465775318,-0.10666176940653,0.041212585026434
