"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"WT_08Hr_3",3.41873054227979,-8.02274128202062,1.00878361620888,-3.76088517978897,3.00873315054757,-0.880708726573297,-1.14470317199637,1.67134869316537,0.575583074507775,-2.68475093624343,-0.874135896694848,1.67522079140075,-1.29881677184716,-0.96586876116884,0.00424782915756642,-1.18846636234933,0.699589972888777,-1.35532128998802,0.570340254098181,1.06457221322664,-1.01776392076929,1.21999391824193,-0.791570439245857,0.558380942776336,-1.08243572507151,0.211278794621881,-0.265142441839017,-0.12658784551803,-0.456373458975706,-0.161021761866682,-0.323308009114947,-2.3105821252635,-0.34090086929589,0.529978440491846,-0.470325496502705,-1.9520843275167e-14
"WT_10Hr_1",7.0086483248746,-2.37894798064025,4.45190024368248,-0.513976598962674,-0.0559504730635968,-0.5029648755952,1.10379277820153,1.16758277904215,-2.41478894422843,2.603419192588,1.11520566979523,-0.729564736398185,-1.26664074080447,0.729570177222103,1.53535394899618,2.28511534184312,-1.05503020523551,-0.948800908671116,-1.04778424315126,-2.12503042098518,0.838588366468112,1.0691393209882,0.268211408720746,-1.0888566254346,1.66467359298615,0.339379547828288,0.522773573015434,-0.45508351722606,-0.206708303167185,-0.0317941216718153,-0.496005793692202,-1.08958096839181,0.883401235693436,-0.382531038807228,-0.880107779891797,-2.09264029715772e-14
"WT_10Hr_2",6.06234185507145,-5.69153895942546,5.08464302564684,0.0446814900760985,0.560542713687689,3.83880194204972,-2.16578328185621,-10.3868610887373,-1.18520690660434,0.887105129604693,0.402689005266208,1.25432255367582,-0.745957300268372,-0.320008878672234,0.876651303349866,-1.27027527839886,0.0583273199106442,0.417563809235496,-0.367688897111162,0.212500689512224,-0.0216016964366022,-0.39428941949057,0.015237676649582,-0.0733012665292939,-0.0510426697659366,-0.230056891111298,-0.0834534752932659,0.0983563007402485,0.00365865069908326,0.0118441006134811,0.0354653076487149,0.0508869051125377,0.0307285112241017,-0.0201795231659629,0.0205840454705363,-2.01761350682172e-14
"WT_10Hr_3",5.69233024364808,-3.88021992970007,2.1214172359945,-2.25647195921349,1.74699374591712,-2.85689842980969,-1.58454321827868,-0.0494622273447854,-1.3355258412937,-0.985657350810744,2.00026523370401,-0.868062828970331,-0.374585042526152,-0.774250411577257,-1.47935636333779,2.65854204960288,1.4032976367861,0.517796967583371,-0.264738433149066,-0.284319755407738,-0.722254706324464,1.08841047564151,0.653709559133743,1.93634686389735,0.493338989449735,-1.16184524065487,0.12916465414208,-0.317310927957218,0.0904033442537398,-1.20474900857556,-0.837820930419593,1.25400774858749,-1.020145464456,0.144372665122629,0.500788940114181,-2.06015760007006e-14
"WT_12Hr_1",7.09586893923431,-3.12050838679342,5.22162523939032,2.55520630514313,-1.87421700132239,-1.78566979394195,4.10829938786042,1.05282528051512,-1.24072763512852,-1.41403001585589,-0.278031300493528,-0.768954915491768,-0.792165265713527,1.4095429397008,2.25456219934744,0.255246126867179,0.0606196902019184,1.91168334881969,2.38558674161331,1.00371624308787,-0.585630815878496,0.206833807081296,0.512858228359412,-1.51776173130234,0.282040152045371,0.0960372867381505,0.0753749498912573,0.12424901127092,0.72949574049758,0.755066337856343,0.615867489321226,0.112923074928707,-1.10041371777968,1.02251924488695,0.460353631951302,-2.03253212871513e-14
"WT_12Hr_2",13.8210304259207,-4.33157051399493,-19.9750011758475,2.75971277873136,-2.20189819910227,-1.96648058337525,-0.336299397518569,-1.09880436166616,0.776854887171528,0.613777197678372,-0.653042791567191,-0.557953618005388,-0.724536418775111,0.725688670703629,0.0847171924367091,-0.0205722060809843,-0.159594637064474,0.107779908789295,-0.43394009934186,0.00208667122801879,-0.147478501801468,-0.0913412846785734,0.0709860184777619,-0.0590226305330897,-0.168465167546208,0.19050490963883,-0.11765978991231,-0.0133806228349237,-0.0553347674655302,-0.0320089202460369,-0.0551035446690518,-0.0174683463205112,0.0853414715075708,0.019222652943773,-0.00704872882781806,-1.67127596484296e-14
"WT_12Hr_3",8.90423428101566,1.70384488727745,2.49474715738478,-2.72340053849907,1.59830184779563,-2.05685216182251,-1.00503020505262,1.91377489269611,-1.75342066981244,-1.96618654095888,-0.596374061365093,2.20074816077807,1.40909729581371,0.857767547670813,-0.693887933165669,-0.663869214014302,-2.58400631905582,2.75667240092969,0.577400364435003,0.257939770731726,1.04401616551706,-0.909855281024019,0.0368238556776755,1.09130435509486,0.122454311360088,-0.375860455618276,-0.695583337672862,0.500915287234834,-0.990082595257103,0.507003684891257,0.0619793091944355,-0.0165210506456086,0.874467064221847,-1.16431854065166,0.267263304536019,-2.06818069614645e-14
"WT_14Hr_1",6.62487550790903,5.3287891460463,3.98252648939957,0.729354844973135,-0.421842392827074,1.23817039557322,-3.6207085748885,2.04766184343691,-0.485186177381085,1.16716118495743,-1.83394452545209,-0.734068777127521,-0.868255047887723,1.11458684343773,-0.095291550979107,0.283297479343815,-0.115066830547576,-1.15575282047477,0.0507562038991668,1.90782103692737,-0.147486519386953,-0.294276808092404,0.476842722777938,-0.885818802037216,-1.4217786344414,-0.319348465211604,0.495480317458438,0.131540785773892,-0.964772836318191,-1.72081062744333,1.23568218412629,1.01610393887546,0.49924744667847,0.327642157430828,-1.06763346173315,-2.02760985085204e-14
"WT_14Hr_2",6.22637673969275,5.30588850959658,2.76425057667026,0.26005697193392,-3.3886139316612,3.3259264508748,-0.343675565821344,0.363648846497506,-0.262355578397564,0.0173822056895804,0.623854185438651,-1.48248564821208,2.0170826026259,1.28589108749221,-1.6428848607684,1.17301264185783,0.0605759401666548,-1.46871345040833,-0.912162125481987,-1.01369883870831,0.653703461804934,-0.720367308231609,0.50606299290579,0.22953443750873,-1.61745930999397,0.21741451374754,-0.463376621091481,-0.107404580586599,0.365200111921671,0.279671009514032,0.782287160598892,-1.31558817506827,-1.33044443599353,-0.641054392780191,1.19034648316406,-2.04814463999892e-14
"WT_14Hr_3",6.25578009965392,5.69460968682108,0.918502033578662,-1.72845057742553,-2.18363156509643,0.000714716565491544,-2.85765980606968,1.728893667133,-2.43231987485353,1.07256514887798,-0.600690417306026,0.262743884435888,1.88445678883978,-1.40733543328558,-1.555972664026,-2.46263114459659,-0.402790987804915,-1.03585437826588,0.438013885164509,-0.550896106454005,-1.45217355241131,-1.37156889290363,-1.55046254460963,-0.549013548569514,1.56561593567186,-0.244499064508432,0.237464169159215,-0.6254963528939,1.54744509107261,0.102129499051099,-0.80927482672525,0.275135283819988,-0.194427064223359,0.711346740346022,-0.232231436141949,-2.14069213744228e-14
