Gene_ID	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
211488	7228	6824	6020	3683	5895	4526	5115
211578	1	0	4	0	1	2	0
211712	1824	709	4225	1850	1339	2614	3146
211798	283	9	222	64	130	156	57
211924	0	0	0	0	0	1	0
212163	1756	2396	1524	1371	1569	2708	1965
212168	2424	2459	2204	2157	1900	2468	1831
212392	0	2	28	0	4	2	12
213084	244	435	263	446	596	486	434
213171	4	3	6	2	12	12	1
213438	329	31	50	122	48	347	36
213539	678	2722	943	450	829	928	1237
213541	7369	10705	7626	6586	7626	11522	7956
213575	317	793	508	304	358	411	394
213673	7263	7907	6436	5983	5890	8032	8453
213742	17111	804	3422	10257	7563	12818	2241
213827	13517	16012	10228	8404	8970	14159	15333
214105	4	7	0	5	3	10	2
214111	24	5	8	13	3	7	7
214489	1397	1700	1573	1135	2151	2345	1831
214547	498	117	58	343	188	465	189
214568	0	1	0	1	1	1	0
214580	426	386	501	306	449	419	475
214791	714	805	493	586	1153	554	796
215085	249	67	101	140	652	284	16
215090	1331	1408	1529	1163	1425	930	906
215446	2	8	7	5	7	7	19
215449	12328	5461	5706	5697	5714	11736	5626
215693	227	261	100	99	379	325	109
215890	0	9	85	2	3	7	14
215895	0	0	0	0	0	0	0
215928	13	10	2	8	3	28	7
215951	284	394	285	224	186	241	295
216148	2778	6067	3976	3096	5721	1706	2574
216157	2878	2866	2628	2707	2854	2078	2909
216197	8205	6345	7196	4904	6114	6042	5236
216285	0	0	1	0	1	0	0
216343	42	196	1889	22	21	58	11
216459	205	338	258	70	194	332	333
216543	3128	4513	3132	3383	4608	4202	5267
216781	0	0	0	2	0	0	1
216974	21	31	16	25	12	29	9
217038	489	716	436	303	408	301	431
217122	17	22	19	0	79	4	2
217194	2975	4048	3242	2813	3009	2939	3055
217212	0	0	0	0	0	0	0
217214	0	2	0	11	0	2	1
217294	0	18	7	11	10	25	23
217648	191	104	98	153	120	174	217
217705	161	257	145	208	114	115	205
217738	304	52	11	38	61	166	103
217887	164	293	174	172	181	238	196
218314	222	272	109	71	103	270	148
218341	336	346	203	228	228	306	192
218440	133	16	56	14	28	12	18
218442	5481	8492	3294	7760	5950	7249	2805
218506	530	884	566	500	457	786	706
218544	712	893	878	609	548	589	403
219149	134	180	257	112	181	182	101
219150	1969	2107	2477	1688	2374	2656	4318
219151	1532	1356	458	788	875	4944	2939
223254	2630	2938	2586	2754	3497	3038	3020
223332	23	30	27	5	13	98	2
223645	34	22	15	7	7	2	10
223664	1043	1207	1117	618	1160	1386	991
223665	549	481	492	280	434	330	276
223775	1935	2450	1378	911	1568	1906	1906
223776	598	709	389	363	668	592	360
223881	98	38	20	71	49	49	57
223915	0	0	0	0	120	0	0
223922	573	528	333	430	631	675	564
224020	5060	4284	6366	4887	5107	4341	6468
224055	0	0	0	0	1	0	1
224092	1563	2208	2690	2607	2812	2417	3449
224116	9	0	1	1	0	2	0
224405	85	376	115	170	74	262	110
224432	1168	1941	1422	1615	1986	1417	1521
224582	0	0	0	0	0	0	0
224630	944	1085	404	601	832	1280	1451
224753	0	0	0	0	0	0	0
224754	14	0	0	2	1	0	0
224761	0	0	0	0	0	0	0
224796	53	60	11	129	126	822	45
224813	53	146	136	100	198	37	72
224916	0	0	0	0	0	0	0
225030	4	6	1	2	4	211	0
225600	5	4	0	2	2	3	5
225743	1742	1789	2344	1900	3020	1298	1619
225884	12	5	0	5	12	7	1
225995	1208	1558	2619	4314	2566	2093	1921
226025	1321	251	1506	514	774	553	488
226075	526	46	61	116	89	260	60
226115	0	0	0	8	5	0	1
226123	251	510	844	312	581	415	498
226178	3458	2231	3029	1886	3127	3469	1993
226252	2313	1706	2257	1437	2489	2261	1811
226359	0	0	0	18	59	0	0
226525	3642	2930	2394	2081	3062	5612	3500
226562	19871	24188	18736	13376	22414	34198	29225
226646	6385	12498	5849	7743	6247	10253	7772
226654	3	17	12	28	11	24	3
226695	207	12	22	146	136	1323	34
226791	427	597	339	240	342	650	1133
226999	5	5	0	3	9	55	2
227292	1773	1928	1166	1847	1821	3021	2855
227545	26	98	16	21	12	107	44
227615	264	242	282	368	282	247	304
227620	1038	488	332	504	364	605	209
227624	4451	6815	5196	4147	4301	4771	5451
227693	1733	1858	1576	1694	2081	1569	1715
227695	1043	1694	1128	953	1086	1088	1376
227721	335	499	214	52	180	778	634
227736	6	11	9	17	8	10	1
227867	4755	4719	4452	4297	4425	4633	4194
227929	343	109	104	270	182	426	152
227933	16	33	11	7	27	25	20
228139	15	124	105	27	139	79	781
228684	0	0	0	0	0	0	0
228715	225	320	365	219	220	237	275
228731	0	0	1	1	0	0	0
228770	0	2	1	0	5	12	1
228876	2375	4390	2940	3052	2997	2565	3592
228994	3698	5723	3849	3393	4165	5270	4787
229011	455	571	424	258	333	367	231
229302	1	0	1	1	6	2	0
229333	0	0	1	0	24	0	0
229389	0	0	0	0	1	0	0
229521	9120	10193	13355	5566	9333	5540	6368
229599	130	387	177	167	76	251	490
229697	0	4	3	7	0	3	0
229709	6317	8983	6833	4796	6911	10973	9178
229731	1560	1010	371	875	639	1932	768
229877	10148	8679	6917	4973	6882	11900	10111
229906	2144	2187	1449	1406	1596	2560	2078
230119	2291	3067	2125	2254	2542	3573	3032
230234	998	1868	1015	1164	1002	1558	1510
230235	3401	6298	5866	1767	5131	5640	5779
230316	2612	2490	2699	2221	3247	2793	2366
230576	5	0	2	1	1	5	1
230579	0	0	0	0	0	0	0
230598	6335	7856	5971	5425	6677	9791	7106
230649	196	305	194	233	201	245	253
230673	2227	2250	1875	1703	1995	2851	2060
230734	1643	2409	1755	1923	1507	2318	1577
230815	10255	10402	7781	4689	11833	16339	7309
230828	0	0	0	0	0	3	5
230959	2	0	0	46	105	54	46
