ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
193022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193043	0	0	0	0	0	0	0	0	0	0	9	3	0	6	2	0	11	0	2
193053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193116	0	0	4	2	2	2	6	6	2	8	78	32	30	100	43	9	69	14	86
193217	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
193280	22	13	12	16	5	0	0	3	0	2	1	0	0	0	0	2	0	0	0
193286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193385	4	3	0	1	4	4	5	3	8	2	23	9	3	20	11	4	13	11	12
193452	2	0	0	2	0	0	0	0	0	2	12	0	4	34	14	10	71	4	12
193670	63	70	92	82	70	33	43	37	28	37	60	28	22	62	31	29	33	15	37
193736	4	2	5	3	19	6	16	12	5	8	13	12	19	20	18	13	39	7	6
193740	0	4	0	0	0	0	0	0	0	0	3	3	4	6	14	0	1	0	11
193742	2	3	6	3	1	10	5	6	5	17	23	4	3	24	13	2	28	4	11
193796	7	10	10	10	12	22	23	43	16	34	133	16	42	59	50	32	87	23	52
193813	0	0	2	4	2	4	2	6	4	4	101	2	14	27	24	6	55	10	34
193838	3	6	2	3	2	4	1	9	2	3	16	6	5	4	15	11	4	6	5
194126	138	184	206	180	150	133	110	487	54	230	56	230	208	147	89	79	83	212	95
194219	1	0	3	0	1	1	0	1	6	2	1	3	0	1	0	1	0	0	0
194225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194237	0	4	2	2	0	6	4	2	1	5	24	0	7	21	11	2	9	2	2
194268	0	5	0	2	0	2	2	1	6	0	9	2	0	18	8	4	12	7	10
194292	0	0	0	0	0	5	4	1	0	0	0	3	0	2	1	0	0	3	3
194309	2	4	2	2	2	0	7	0	4	7	5	0	1	8	4	0	9	2	4
194352	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
194357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
