tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
17476	30025.1616699216	6013.93880404034	8152	9708	9646	14966.5770311058	4152.35283591415
17528	9	6	1	2	2	475	0
17532	1598	1729	1263	1548	2851	1253	2455
17536	134	7	15	61	65	57	16
17681	41	37	16	202	40	47	1
17688	4967.55985856749	8425	4720	4966	6435.09962209184	8800.10313728	6521
17691	906.553793778466	290	248	362	111.973589126671	1008.97396326765	280
17714	1873	3126	1946	1316	1792	2532	2192
17749	90	151	101	70	85	125	100
17773	0	0	0	1	0	0	2
17857	457.703828435335	83	47	457	562	870.533878385569	109
17872	943	589	989	580	626	669	814
17882	4	3	0	1	0	1483	344
17937	1140	1162	702	528	572	1447.21517963643	1561
17973	1601	1287	1061	913	809	1435	1106.6488415109
17974	2121	3321	2281	2006	3190	4016	3411
17997	2381	2793	2553	2736	3253	2899	3133
18004	1424	2419	1447	1076	1181	1629	1774
18024	5018	4466	2550	2559	3208	4810	2877
18096	0	0	0	0	0	2	0
18100	836	1234	1272	1076	796	1205	1815
18102	5975	9069	5657	4859	4575	4564	6988
18104	44	37	25	47	64	287	10
18107	5109	6458	3791	3719	3693	5305	6072
18155	10	364	363.276635550898	24	61	1	6.67158306864144
18164	2973	889	1410	1343	2800	13480	2542
18194	1356	2443	1141.71514426662	879	1747.39248107783	1555	2146
18209	969.406218306337	894	440	1494	1386.51860361549	308.885580052412	365
18232	0	0	1	1	0	1	0
18293	6775	8075	4828	3565	5184	7741	6215
18346	0	0	0	0	0	0	0
18356	8	11	0	1	58	174	2
18363	0	0	0	0	0	0	0
18386	5	2	1	1	2	7.05576198089265	1
18405	1	22	1	3	2	72	2
18415	2074	3635	2114	1416	1611	2698	1912
18459	0	0	0	0	0	0	0
18478	0	0	0	0	0	0	0
18483	2641	3293	3254	3110	3223	1524	2870
18526	231	398	202	432	1014	18	389
18554	2045	1485	1210	1247	993	1612	1332
18559	471	34	118	92	103	205	50
18570	1900.98958492021	2631.92796446136	1477.38794885437	1441	1312.94023715354	2065.45368706386	1881.42958745088
18591	1459	583	262	609	515	647	396
18610	9	1	4	3	18	0	2
18611	11200	4883	4997	4119.69460302117	6908	5621	3378
18619	69	2	0	217	54	28	8
18630	0	0	0	0	0	0	0
18667	4	2	8	1	2	342	1
18673	1153	2034	925	816	981	1496	1233
18682	15	38	38	1	13	489	14
18722	0	0	0	0	0	0	0
18738	7127	6055	4784	3986	4086	5505	4231
18752	53	36	42	41	28	34	6
18767	5450	6363	5056	3129	3992	4105	3411
18780	0	0	0	0	0	0	0
18782	139	3	5	18	95	135.627424743825	3
18787	11798	476.569957032268	8097	4339	946	1547	1428
18796	836	34	121	184	321	289	59
18811	0	0	0	0	0	0	0
18812	0	0	0	0	0	0	0
18826	20456	3143	4922	5439	3724	7503	3022
18946	0	0	0	0	0	23.5917040212891	0
18949	2437.93463139283	5316	3324	4050	3847	4111	4410.75035625557
18950	2153	861	575.188006288921	878	1076	2310	852.294737018944
18985	380	444	143	34	117	42	25
19014	6172	9173	6769	5901	6899	7134	7696
19016	314	128	66	224	94	378	58
19035	5462	10184	6296	5155	4886	5760	6983.47957710043
19045	10647.6364299167	15743.4430005327	10471	11240	10553	14749	23581.9335843383
19046	17804	17800	16070	7358	15927	23115	18086
19073	2412	499	1468	1157	761	1405	816
19114	0	0	0	0	0	0	0
19134	4440	13101	4595	5972	5805	5635	4903
19170	6914.50613835436	12456	6868	6494	7115.20766343169	12415.0051921573	9071
19172	7897	12412	6608	5921	7325	14569	10336
19175	4978	8927	5037	5609	5005	7969	8293
19213	0	0	0	0	0	0	0
19241	96579	41950	45682.5030523833	35251	37860.170423353	46691	22763
19252	1642	1469	1210	1161	1000	1898	1100
19256	0	13	18	3	22	5	19
19264	11785	1031	1836	3464	3133	6041	1335
19272	2276	3506	1535	1185	1846	1810	1580
19283	569	324	1052	2081	6395	19	334
19289	51	145	77	120	255	35	45
19290	832	757	886	892	247	794	1174
19294	1803	245.602357339396	842	549	378	1214.97275709639	981.1466616506
19296	544	737	487	318	743	673	351
19326	2107.40482240508	2297	1841	1917	2115.4741838361	2368.38410491963	2132
19335	1256	1540	959	777	1249	1741	1181
19366	1030	1728	1145	1071	1486	1868	1773
19384	9317	24009	10224	8136	11490	14048	17800
19400	67	44	16	14	33	147	49
19645	6107	5749	7255	3577	6548	5739	7766
19671	626	718	957	983	853	833	1035
19692	0	0	0	8	0	0	0.83394788358018
19696	270	190	152	116	136	267	126
19734	599	631	359	226	490	3646	963
19752	8	10	4	11	1	0	4
19894	847	270	540	85	1022	1978	3599
19895	867.363458484618	1280	730.157205978292	1265	753.003599361909	831	1240.08050288373
19899	4353	7524.06140660013	4861	3872	4636	4516.6317348758	5952.9186875147
19934	12072	23679	15570	12542	12861	23572	19869
19981	1815	2656	1908	1687	1517	1862	2090
19989	23304	46020	27076	25536	22744	32668	29085
20021	1066	1738	1005	1130	1094	1376	1396
20024	6297	9339	7886	5151	7357	8633	9850
20028	0	0	0	2	0	0	0
20044	16961	30555	18813	14201	16424	24993	24352
20102	17305	30390	22336.138786804	18093	18752.7903621339	21188.4532286206	20702
20103	21489	34853.9615621576	25552	20850	25134	24181.4966218214	32311.8011168587
20115	1225.2525581492	1900	1748	1781	1562	1290	2259
20116	7402	14599	10290	7253	8340	9974.49552032191	10831
20135	6739.99823025344	7778	3342	5685	8180	9922	13786
20202	79	2	110	201	19	110	433
20204	517	26	67	142	56	58	62
20222	1748	2066	1444	1746	2083	1773	2299
20229	4772	2140	2561.37592290526	2919	2599.25962602741	2802	1552
20262	5444	6780	7292	4129	4689	1267	4225
20276	405.952718421189	443	156.41077363997	39	66.1320526385709	41	34.1918632267874
20287	51	101	39	6	9	1140	8
20290	19	0	0	10	20	27	8
20304	144	117	25	102	160	145	28
20322	1167	2502	690	658	518	988	926
20335	86	180	128	102	145	151	151
20340	7565	6779	7505	5440	5903	9170	6270
20342	63	22	14	15	15	36	63
20344	71	0	55	180	150	171	12
20345	2159	124	286	665	598	877	240
20419	1216	3164	1927	1575	2321	2009	3591
20420	749	835	641	490	918	409	730
20423	7	0	0	0	22	2	2
20438	632	1013	771.833646217694	914	920.01651654555	1159	1041
20445	1	1	1	0	0	2	0
20448	5133	1592	2017	614	826	3691	1930
20449	2595	761	3942	2175	2353	2708	1847
20452	2318	420	305	750	593	966	484
20467	4958	5960	3672	4538	4423	7504	5739
20474	105.000520975972	31	7	100	76	447	47.5350293640703
20479	5028	5274	3581	2594	3518	5868	4341
20501	3903	7593	5308	2459	3427	5032	4740
20530	1252	452	351	425	473	1235	403
20532	53.9791410651126	9	4	7	15.7815125614771	51.7422545265461	13
20536	963	1007	969	1318	755	636	760
20599	0	0	0	0	0	0	0
20606	4585	5529	4921	3776	10784	6602	10470
20609	0	0	0	0	4	2	16
20639	2796	4809	3431	2895	2889	3927	3804
20643	2852	5619	2991	2769.97518822404	2866	3520.041254912	3817
20648	581	652	619	280	395	1158	495
20650	1736	1629	691	1074	1157	2346	1132
20681	34	2594	704	1607	2175	2957	4269
20682	1023	3867	4344	2353	4355	7172	9085
20686	31	173	40	56	55	131	81
20687	11387	12342	10028	10622	11874	14334	14733
20689	0	4	4	147	76	30	3
20700	0	0	0	0	0	0	0
20703	2	0	0	0	0	11	4
20708	259	106	62	71	121	152	15
20709	0	0	0	0	0	1.17958520106446	0
20717	8.13384317419505	0	0	25	67	96	0.83394788358018
20728	351	72	53	144	59	22.4121188202247	27
20751	931	1422	722	988	813	1152	1842
20775	5397	8735	4875	1715	5419	6548	7967
20821	1146	481.247862354221	369	383	606	1797.68784642223	443.402818245944
20832	2540	2190	2180.80420814972	1715	2106.24151588784	1947.39030672637	1831
20888	0	0	0	0	0	0	0
20932	10765	8694	7336	6474	6223	10051	7241
20957	33	226	11	1	9	59	2
21338	0	1	0	0	2	1	0
21339	471	996	481	1169	518	681	584
21390	181	30	13	90	40	39	53
21402	13070	20033	13675	12024	14492	14712	16149
21407	30	48	11	2	3	33	60
21648	67.6489748994267	198	25.4699729173007	26.9355828884384	40.9714085303651	118.446612430649	87.9506105426176
21665	75	114	67	71	111	50	88
21753	1058.13905293392	958	421.660380550149	528	296.842736275403	432	238.509094703932
21755	0	0	0	0	0	0	0
21784	0	1	0	1	1	0	0
21803	2244	205	773	920	663	1265	757
21853	2989	3182	2780	2469	4290	5980	4277
21856	1481	3022	1807	1732	1560	2270	2589
21899	527	218	96	145	105	362	122
21925	9	50	0	0	2	7140	108
21927	5003	5719	3524	4020	3932	5524	5337
21936	37	14	41	49	56	43.1185454387884	40
21937	3254.27670996658	1260	916.841032580837	1581	936.36974531431	2620	1046.60459389313
21941	8	6	1	0	4	2	4
21944	361	95	74	130	85	161	54
21947	7	0	0	4	6.38900358712187	0	0
21953	25	54.7626877851355	4	13	5	2429.48248582394	159.032013838971
22026	6888	5385	5737	5334	7831	5438	7037
22032	1830	4850	3219	4816	4666	5494	8334
22064	0	1.65947538742835	0	1	0	0	0
22070	2433	4653	4166	2763	3051	3971	8020
22072	0	0	0	0	0	0	0
22073	0	0	0	0	0	0	0
22134	4330	2867	3129	2355	2580	3403	2652
22144	5	1	4	3	1	1	7
22145	701	904	999	118.463876862488	138	1937	218
22163	31	46	20	48	50	18.0313917289479	15
22166	6511	9907	3977	4719	4870	10865	7626
22169	1189	991	273	933	1236	4939	837
22209	1297	1222	977.085806984727	924	1054.18559187511	1670.64764236469	1121
