tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
15373	0	0	0	13	0	0	1
15376	0	1	33	634	172	808	1
15377	1	0	4	0	5	0	4
15394	15.5259808658506	0	0.739332422183363	26	5.17532695528354	6	0.739332422183363
15397	0.739332422183363	0	0	1	0	2	0
15427	75	4	30	73	13	32	7
15439	852	16	119	237	932	2344	160
15446	431	51	458	231	264	148	245
15452	6110	6112	3902.67036867838	3943	3592.37966747327	4134.34690484936	5374
15458	13	3.27771867470189	2	13	14	3.27771867470189	4.37029156626918
15465	28.8339644651511	15	16.265313288034	38.4452859535349	14.0473160214839	23	21.4406402433175
15476	47	36	79	35	9	58	18
15512	774.820378448164	1431	1029	848	1784	1342	1378.76991138571
15529	2481	4220	2413	1854	2034	5164	2921
15557	0	0	10	7	3	2.18514578313459	3
15893	1164	1469	1133	973	1220	539	1308
15936	935	1460	1055	1148	878	1583	3558
15953	4785	650	265	1040	2881	6660	408
15959	1130.00727899751	313.632037168677	71.8073882375388	701.756039440835	635.788905147815	2339.18997598115	168.305252352914
16008	1995	2567	1527	2510	1436	12125	6598
16009	28177	11848	8086	12731	8390	8196	8578
16153	63	0	6	6.65399179965026	3	46	1
16154	3653	344	579	975	1098	1688	229.932383299026
16156	14	12.0183018072403	21	10	10	2.18514578313459	21.8514578313459
16163	0	0	1	0	0	2	0
16168	301	64	34	90	66	153	56
16176	274	79	213	360	197	242	724
16187	0	0	0	0	0	0	0
16189	0	0	0	3	0	2	6
16191	2	5	0	1	5	3	1
16196	27	10	1	4	8	9	5
16419	8607	878	2071	2803	2631	2342	1064
16447	0	0	0	0	8	0	0
16467	2028	297	1728	1037	1587	142	112
16470	1	4	3	0	2	0	5
16492	0	1	11	1	32	0	2
16500	1433	1489	1164	1269	1826	2209	1163
16508	1178.49588096028	28	289.818309495878	155	314.216279427929	27	37.7059535313515
16513	765	355	894	1121	1319	458	198
16525	1608	2313	2403	203	695	2477	1377
16541	201	15.2960204819421	18	106	100	263.310066867718	57.9063632530667
16543	1616.92000731501	984	1446.87355021284	1125	1055.76669887784	1508	600.337926812891
16545	0	14	0	0	0	1	0
16576	216	767	216	315	416	279	545
16580	754.858403049213	884	596	898	1160.75190282788	856.146944888334	1186
16588	720	1009	690	701	642	764	793
16597	2683	2422	3907	2248	3709	2236	2893
16600	276	110	108	236	170	1459	159
16617	0	0	0	0	0	0	0
16628	0	0	0	1	1.47866484436673	0	0
16631	0	0	0	0	0.739332422183363	0	0
16638	24.7110109042633	0	0	0.739332422183363	4.43599453310018	5.11086807525327	0
16642	3	0	0	2	12	4	0
16660	0	0	0	0	14	0	0
16663	0	0	0	0	0	0	0
16665	0	0	0	0	26	0	0
16668	0	0	0	1	0	10	0
16691	0	4	0	0	1	1	0
16701	0	0	0	0	0	0	0
16769	0	0	0	0	14	0	0
16770	4	0	2	7	3	2	9
16779	2126	2595	650	1247	1302	3801	2815
16816	9	197	96	63	253	68	109
16832	3092	4408	2235	2031	2320	3136	2895
16841	2	0	0	0	0	0	0
16846	0	3	0	0	27.3552996207844	414	0.739332422183363
16847	199	126	107	412	404	325	52
16854	6803	1041	938.212843750687	2414	953	2047	648.394534254809
16869	904	3284	1799	2418	3085	380	780
16873	0	17	6	0	1	2	0
16881	3499	2830	3223	2846	5057	3121	4444
16911	1989	2508	1858	1890	2659	4162	3043
16949	5497	8846	1108	2942	4709	6114	6117.97579356733
16950	5329.10809909768	838	1268.69443646665	1679	797.739683535848	956	600.337926812891
16952	6797	641	2366	2467	1002	3260	1208
16975	721	1091	2152	1012	2696	4657	1647
17035	1178	986	476	342	396	1067	451
17071	0	0	0	0	0	0	2
17113	8228.03052647864	7655	4976.44653371621	5447	4264.46941115364	7290	5914.6593774669
17125	3918	3209	2856	2446	2859	3264	2809
17138	0	0	0	0	0	0	0
17153	1	71	30	1	27	118	5
17156	7735	8852	6090	4887	7006	12187	6004
17161	1694	2779	1744.83890783297	1549	2114.12854518272	2681	1930
17168	694	828	587	769	783	840	985
17171	4	15	3	3	1	104	10
17173	31	6	10	12	3	44	10
17184	29690	36076	34212	22829	33261	32056	32021
17188	6773	5094.6673933783	6040	6733	8956	5635.49097470411	7566.06727410352
17189	2	126	0	0	0	2678	138
17195	0	0	0	0	0	0	0
17203	25	11	14	0	20	37	7
17225	1	0	0	0	5	12	0.739332422183363
17228	3	0	0	0	2	162	0.739332422183363
17231	63	0	93.1558851951037	3	0	3	0
17252	1460.18153381214	2042	944	1026	1230	1376	1483.15997698616
17268	4024	13915	6411	6512	7075	7715	12722
17313	1581	1337	504	2880	640	1232	1917
17349	249	585	184	182	168	831	255
17387	10728	7093	4285.91005139695	7119	7888	10315	8597.69673757033
17388	791	477	324	1251	1553	3837	594
17389	1368	3023	3267	3149	3159	1264	3394
17391	7026	7493	6796	1308	3156	1883	577
17392	3299	31	431	444	92	1035	152
17394	81	12	19	53	7	9	32
17427	393	1290	331	280	294	532	428
17448	6295	12090.3030999645	5792	5516	6336	7385	9059
17476	31320.7870825597	3959.48415903988	8152	9708	9646	13862.5648482058	3366.21707891884
17528	9	6	1	2	2	475	0
17532	1598	1729	1263	1548	2851	1253	2455
17536	134	7	15	61	65	57	16
17681	41	37	16	202	40	47	1
17688	4966.83521222783	8425	4720	4966	6330.90353115614	8299.00643900825	6521
17691	906.421549596803	290	248	362	110.160530905321	951.520827349988	280
17714	1873	3126	1946	1316	1792	2532	2192
17749	90	151	101	70	85	125	100
17773	0	0	0	1	0	0	2
17857	477.454353614908	83	47	457	562	806.318793976664	109
17872	943	589	989	580	626	669	814
17882	4	3	0	1	0	1483	344
17937	1140	1162	702	528	572	1364.80765135049	1561
17973	1601	1287	1061	913	809	1435	981.094124237322
17974	2121	3321	2281	2006	3190	4016	3411
17997	2381	2793	2553	2736	3253	2899	3133
18004	1424	2419	1447	1076	1181	1629	1774
18024	5018	4466	2550	2559	3208	4810	2877
18096	0	0	0	0	0	2	0
18100	836	1234	1272	1076	796	1205	1815
18102	5975	9069	5657	4859	4575	4564	6988
18104	44	37	25	47	64	287	10
18107	5109	6458	3791	3719	3693	5305	6072
18155	10	364	372.623540780415	24	61	1	5.9146593774669
18164	2973	889	1410	1343	2800	13480	2542
18194	1356	2443	1166.86784819387	879	1792.91211506193	1555	2146
18209	969.264805482389	894	440	1494	1364.0683189283	291.296974340245	365
18232	0	0	1	1	0	1	0
18293	6775	8075	4828	3565	5184	7741	6215
18346	0	0	0	0	0	0	0
18356	8	11	0	1	58	174	2
18363	0	0	0	0	0	0	0
18386	5	2	1	1	2	6.65399179965026	1
18405	1	22	1	3	2	72	2
18415	2074	3635	2114	1416	1611	2698	1912
18459	0	0	0	0	0	0	0
18478	0	0	0	0	0	0	0
18483	2641	3293	3254	3110	3223	1524	2870
18526	231	398	202	432	1014	18	389
18554	2045	1485	1210	1247	993	1612	1332
18559	471	34	118	92	103	205	50
18570	1983.01979819464	1732.82060602573	1509.935736146	1441	1347.14237530248	1913.09513313433	1525.23175662794
18591	1459	583	262	609	515	647	396
18610	9	1	4	3	18	0	2
18611	11200	4883	4997	4705.11153477492	6908	5621	3378
18619	69	2	0	217	54	28	8
18630	0	0	0	0	0	0	0
18667	4	2	8	1	2	342	1
18673	1153	2034	925	816	981	1496	1233
18682	15	38	38	1	13	489	14
18722	0	0	0	0	0	0	0
18738	7127	6055	4784	3986	4086	5505	4231
18752	53	36	42	41	28	34	6
18767	5450	6363	5056	3129	3992	4105	3411
18780	0	0	0	0	0	0	0
18782	139	3	5	18	95	127.904509037722	3
18787	11798	533.058676394205	8097	4339	946	1547	1428
18796	836	34	121	184	321	289	59
18811	0	0	0	0	0	0	0
18812	0	0	0	0	0	0	0
18826	20456	3143	4922	5439	3724	7503	3022
18946	0	0	0	0	0	21.8514578313459	0
18949	2437.57899593855	5316	3324	4050	3847	4111	3910.32918092781
18950	2153	861	589.987272902324	878	1076	2310	755.597735471397
18985	380	444	143	34	117	42	25
19014	6172	9173	6769	5901	6899	7134	7696
19016	314	128	66	224	94	378	58
19035	5462	10184	6296	5155	4886	5760	6191.16970336348
19045	11107.0960156731	10365.2390222989	10471	11240	10553	14749	19337.3799609192
19046	17804	17800	16070	7358	15927	23115	18086
19073	2412	499	1468	1157	761	1405	816
19114	0	0	0	0	0	0	0
19134	4440	13101	4595	5972	5805	5635	4903
19170	6913.49747983662	12456	6868	6494	6999.99937323208	11708.0682376957	9071
19172	7897	12412	6608	5921	7325	14569	10336
19175	4978	8927	5037	5609	5005	7969	8293
19213	0	0	0	0	0	0	0
19241	96579	41950	46688.9173753452	35251	38846.4291596752	46691	22763
19252	1642	1469	1210	1161	1000	1898	1100
19256	0	13	18	3	22	5	19
19264	11785	1031	1836	3464	3133	6041	1335
19272	2276	3506	1535	1185	1846	1810	1580
19283	569	324	1052	2081	6395	19	334
19289	51	145	77	120	255	35	45
19290	832	757	886	892	247	794	1174
19294	1803	161.70078795196	842	549	378	1125.35007831431	795.393065060991
19296	544	737	487	318	743	673	351
19326	2107.09740322258	2297	1841	1917	2081.22076844617	2233.52324741594	2132
19335	1256	1540	959	777	1249	1741	1181
19366	1030	1728	1145	1071	1486	1868	1773
19384	9317	24009	10224	8136	11490	14048	17800
19400	67	44	16	14	33	147	49
19645	6107	5749	7255	3577	6548	5739	7766
19671	626	718	957	983	853	833	1035
19692	0	0	0	8	0	0	0.739332422183363
19696	270	190	152	116	136	267	126
19734	599	631	359	226	490	3646	963
19752	8	10	4	11	1	0	4
19894	847	270	540	85	1022	1978	3599
19895	867.236931221085	1280	748.943743671746	1265	740.81108702773	831	1099.38731178666
19899	4353	4953.72549036612	4861	3872	4636	4183.46160181118	4825.89446205275
19934	12072	23679	15570	12542	12861	23572	19869
19981	1815	2656	1908	1687	1517	1862	2090
19989	23304	46020	27076	25536	22744	32668	29085
20021	1066	1738	1005	1130	1094	1376	1396
20024	6297	9339	7886	5151	7357	8633	9850
20028	0	0	0	2	0	0	0
20044	16961	30555	18813	14201	16424	24993	24352
20102	17305	30390	22828.2179964071	18093	19241.3011933916	19981.9373743497	20702
20103	21489	22947.3084415879	25552	20850	25134	22397.7442771296	26194.4350753259
20115	1225.07382355783	1900	1748	1781	1562	1290	2259
20116	7402	14599	10290	7253	8340	9406.52640743893	10831
20135	6739.01502820135	7778	3342	5685	8180	9922	13786
20202	79	2	110	201	19	110	433
20204	517	26	67	142	56	58	62
20222	1748	2066	1444	1746	2083	1773	2299
20229	4772	2140	2617.80464819524	2919	2666.97042831577	2802	1552
20262	5444	6780	7292	4129	4689	1267	4225
20276	405.893499778666	443	160.43513561379	39	65.0612531521359	41	30.3126293095179
20287	51	101	39	6	9	1140	8
20290	19	0	0	10	20	27	8
20304	144	117	25	102	160	145	28
20322	1167	2502	690	658	518	988	926
20335	86	180	128	102	145	151	151
20340	7565	6779	7505	5440	5903	9170	6270
20342	63	22	14	15	15	36	63
20344	71	0	55	180	150	171	12
20345	2159	124	286	665	598	877	240
20419	1216	3164	1927	1575	2321	2009	3591
20420	749	835	641	490	918	409	730
20423	7	0	0	0	22	2	2
20438	632	1013	788.837627711588	914	943.982978314143	1159	1041
20445	1	1	1	0	0	2	0
20448	5133	1592	2017	614	826	3691	1930
20449	2595	761	3942	2175	2353	2708	1847
20452	2318	420	305	750	593	966	484
20467	4958	5960	3672	4538	4423	7504	5739
20474	104.985203950038	31	7	100	76	447	42.1419480644517
20479	5028	5274	3581	2594	3518	5868	4341
20501	3903	7593	5308	2459	3427	5032	4740
20530	1252	452	351	425	473	1235	403
20532	53.9712668193855	9	4	7	15.5259808658506	48.7959398641019	13
20536	963	1007	969	1318	755	636	760
20599	0	0	0	0	0	0	0
20606	4585	5529	4921	3776	10784	6602	10470
20609	0	0	0	0	4	2	16
20639	2796	4809	3431	2895	2889	3927	3804
20643	2852	5619	2991	3394.43651514271	2866	3319.6025756033	3817
20648	581	652	619	280	395	1158	495
20650	1736	1629	691	1074	1157	2346	1132
20681	34	2594	704	1607	2175	2957	4269
20682	1023	3867	4344	2353	4355	7172	9085
20686	31	173	40	56	55	131	81
20687	11387	12342	10028	10622	11874	14334	14733
20689	0	4	4	147	76	30	3
20700	0	0	0	0	0	0	0
20703	2	0	0	0	0	11	4
20708	259	106	62	71	121	152	15
20709	0	0	0	0	0	1.0925728915673	0
20717	8.13265664401699	0	0	25	67	96	0.739332422183363
20728	351	72	53	144	59	20.7588849397786	27
20751	931	1422	722	988	813	1152	1842
20775	5397	8735	4875	1715	5419	6548	7967
20821	1146	316.846138554516	369	383	606	1665.08108674856	359.45648132564
20832	2540	2190	2228.84869879728	1715	2161.10917952011	1836.50173670347	1831
20888	0	0	0	0	0	0	0
20932	10765	8694	7336	6474	6223	10051	7241
20957	33	226	11	1	9	59	2
21338	0	1	0	0	2	1	0
21339	471	996	481	1169	518	681	584
21390	181	30	13	90	40	39	53
21402	13070	20033	13675	12024	14492	14712	16149
21407	30	48	11	2	3	33	60
21648	67.6268237718028	198	27.4686583064414	38.1007705498143	38.9480975986855	103.307233859993	65.552381324815
21665	75	114	67	71	111	50	88
21753	1057.98469614439	958	432.509466977267	528	292.036306762428	432	211.449072744442
21755	0	0	0	0	0	0	0
21784	0	1	0	1	1	0	0
21803	2244	205	773	920	663	1265	757
21853	2989	3182	2780	2469	4290	5980	4277
21856	1481	3022	1807	1732	1560	2270	2589
21899	527	218	96	145	105	362	122
21925	9	50	0	0	2	7140	108
21927	5003	5719	3524	4020	3932	5524	5337
21936	37	14	41	49	56	40.6632832200849	40
21937	3253.80199002898	1260	940.430841017237	1581	921.20819804047	2620	927.86218984012
21941	8	6	1	0	4	2	4
21944	361	95	74	130	85	161	54
21947	7	0	0	4	6.55543734940377	0	0
21953	25	36.0549054217208	4	13	5	2016.03481404975	128.923601204941
22026	6888	5385	5737	5334	7831	5438	7037
22032	1830	4850	3219	4816	4666	5494	8334
22064	0	1.0925728915673	0	1	0	0	0
22070	2433	4653	4166	2763	3051	3971	8020
22072	0	0	0	0	0	0	0
22073	0	0	0	0	0	0	0
22134	4330	2867	3129	2355	2580	3403	2652
22144	5	1	4	3	1	1	7
22145	701	904	999	135.297833259555	138	1937	218
22163	31	46	20	48	50	17.0046457102173	15
22166	6511	9907	3977	4719	4870	10865	7626
22169	1189	991	273	933	1236	4939	837
22209	1297	1222	998.611622892508	924	1081.64716265162	1575.51739167275	1121
22218	2999	4444	3351	2014	3297	5287	4455
22223	10488	7877	5046	3984	4380	8196	3466
22240	16165	9152	8710	5669	6706	10667	10372
22253	4884	1859	2363	378	891	756	1929
22269	0	0	0	0	0	0	0
22301	0	0	0	0	0	0	0
22312	0	0	0	0	0	0	1
22318	1914	1074	1410	851	1191	1138	770
22326	0	1.0925728915673	0	7	4	3.27771867470189	0
22334	8977	11438	7389.62755972271	5720	7022	12108	11833.7547494669
22340	286	419	651	646	700	494	583
22341	574	43	62	140	60	110	172
22344	6375	8175	5901	6489	5776	6678	7137
22348	0	0	0	0	1	0	2
22359	2500	1474	3601	2997	1551	3152	2476
22363	1.0925728915673	0	0	0	0	0	0
22364	1	0	0	5	4	5.46286445783648	8
22370	40	92	39	283	169	247	27
22380	2312	3129	2421.31368265051	2043	2202	2751	3052.7035711951
22402	6818	471	1183	2601	1250	525	589
22403	1010	17	11	846	227	1165	2
22413	15.5259808658506	1	2.21799726655009	1	0.739332422183363	153	0
22414	170	104	72	112	205	108	70
22415	137	313	37	100	42	26	20
22422	5	27	1	73	77	29	3
22423	0	0	0	0	0	30.5920409638843	0
22433	4821	3806	4465	3119	2681	4607	2343
22437	31	34	3	1	1	577	99.0705445725706
22446	22	0	12	5	2	36	19
22644	2385.82572638571	1763	1933.35428400949	1554	1792.14179137247	1882	1246.51446380115
22682	12549.292232542	8921.95023253854	11804	8221.37653467899	8944	12523.0704831443	6838.4137283197
22687	2105	3111	2016	1666	1726	1911	1629.48865849213
22698	815	913	783	631	929	839	804
22712	290	309	156	134	112	189	116
22719	1024	567.045330723426	710	587	609	528.805279518571	586.711642771638
22722	1045	1569	810	872	856	1355	1387
22764	6330	7890	5362	5824	6330	10876	6820
22772	10556	7632	13769	893	8085	10815	13830
22779	704	1155	321	246	621	521	970
22782	1874	2356	1309	1401	1564	3420	1754
23790	7995	11479	7819	5249	6395	7918	11480
23836	1540	5280	4417	3458	7559	7745	11428
23837	3183	7067	3361	3077	3013	4881	5389
23873	694	899	598	553	572	576	691
23886	78	65	58	82	17	77	100
23893	1471	21	586	450	195	242	96
23919	0	1	0	0	1	0	4
23934	172	229	144	59	273	203	200
23959	1200	1180	229	283	380	719	248
23960	189	26	12	145	100	457	26
23993	0	0	0	0	10	11	0
