tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
102634532	2	2	3	2	2	2	3
102634541	2	2	2	2	2	2	2
102634580	2	2	2	2	2	2	2
102634633	2	2	2	2	2	2	2
102634639	2	2	2	2	2	1	2
102634646	2	2	2	2	2	3	2
102634652	1	1	1	2	1	1	1
102634656	3	2	3	2	3	2	3
102634664	1	1	2	2	2	1	2
102634667	2	2	2	3	2	2	2
102634685	1	1	2	2	2	1	1
102634713	2	2	2	2	2	2	2
102634715	2	2	2	2	2	1	2
102634718	2	1	2	2	2	1	1
102634737	2	2	2	2	2	2	2
102634793	1	1	2	2	2	1	1
102634815	2	2	2	2	2	2	2
102634869	1	1	1	2	1	1	1
102634887	2	2	2	2	2	3	2
102634906	2	2	3	2	2	2	3
102634913	2	2	2	2	2	2	2
102634941	2	2	2	2	2	3	2
102634943	3	2	3	2	3	2	3
102634946	2	2	2	2	2	2	2
102634966	1	2	1	2	5	1	1
102634986	2	2	2	2	2	2	2
102634991	1	1	2	2	2	1	1
102635012	2	2	3	2	2	2	3
102635059	1	1	2	2	2	1	1
102635071	2	1	2	2	2	1	1
102635110	2	2	2	2	2	2	2
102635124	2	2	2	2	2	1	2
102635129	2	2	2	2	2	2	2
102635138	2	2	1	2	1	3	2
102635144	2	2	2	2	2	2	2
102635155	2	2	2	2	2	2	2
102635167	3	2	2	2	3	3	2
102635182	2	3	2	2	2	2	2
102635189	3	2	3	2	3	2	3
102635268	1	1	2	2	2	1	2
102635278	2	2	2	2	2	2	2
102635280	2	2	2	2	2	2	2
102635308	2	2	2	2	2	2	2
102635324	2	1	2	2	2	1	1
102635335	2	3	2	2	2	2	2
102635363	3	2	2	2	2	2	3
102635391	2	2	2	2	2	2	2
102635395	2	2	2	2	2	1	2
102635402	2	2	2	2	2	2	2
102635408	2	2	2	2	2	2	2
102635426	2	2	2	2	2	2	3
102635427	2	2	2	2	2	2	2
102635455	2	2	2	2	2	2	2
102635464	1	1	2	2	2	1	2
102635467	2	2	2	2	2	2	2
102635493	2	1	2	2	2	1	1
102635539	2	2	2	2	2	2	2
102635549	2	2	2	2	2	2	2
102635565	2	2	2	2	2	2	2
102635580	2	2	1	2	1	3	2
102635603	2	2	2	2	2	2	2
102635616	3	2	2	2	2	2	3
102635625	2	2	3	2	2	2	3
102635635	2	2	2	2	2	2	2
102635638	2	2	2	2	2	2	2
102635639	2	2	2	2	2	1	2
102635643	2	2	2	2	2	3	2
102635659	2	2	3	2	2	2	3
102635671	2	2	2	2	2	2	2
102635685	1	1	2	2	2	1	1
102635702	2	2	2	2	2	2	2
102635743	2	2	2	2	2	2	3
102635746	3	2	2	2	3	3	2
102635763	2	2	2	2	2	2	2
102635764	2	2	2	2	2	2	2
102635789	3	4	3	2	2	2	2
102635795	2	2	2	2	2	3	1
102635801	2	2	2	2	2	2	2
102635804	2	2	2	2	2	2	2
102635805	2	2	2	2	2	2	2
102635831	1	1	1	2	1	1	1
102635844	2	2	2	2	2	2	2
102635858	2	1	1	2	1	2	1
102635873	2	2	2	2	2	2	2
102635877	2	2	2	2	2	2	2
102635915	2	2	2	2	2	1	2
102635928	2	2	1.9004884004884	2.04761904761905	2.0995115995116	3	1
102635943	2	2	2	3	2	2	2
102635948	2	1	2	2	2	3	1
102635972	2	2	3	2	2	2	3
102635975	2	2	2	2	2	2	2
102635976	2	2	2	2	2	2	2
102635989	2	2	2	2	2	3	2
102635993	2	2	2	2	2	2	2
102636015	1	2	2	2	2	1	2
102636019	2	2	2	2	2	2	2
102636026	3	1	2	2	2	1	1
102636036	2	2	2	2	2	2	2
102636037	2	2	2	2	2	2	2
102636039	2	2	2	2	2	2	2
102636046	2	2	2	2	2	2	2
102636055	1	1	2	3	2	1	1
102636085	1	2	2	2	2	1	2
102636128	2	2	2	2	2	2	2
102636145	3	2	3	2	3	2	3
102636207	3	2	2	2	2	2	3
102636274	1	2	1	2	2	1	1
102636280	3	2	3	2	3	2	3
102636335	2	2	2	2	2	2	2
102636343	2	2	2	2	2	2	2
102636361	3	2	3	2	3	2	3
102636366	2	2	2	2	2	2	2
102636405	2	2	2	2	2	2	2
102636424	1	1	1	2	2	1	1
102636445	3	2	2	2	3	3	2
102636454	2	2	2	2	2	2	2
102636458	2	2	2	2	2	2	2
102636483	3	2	2	2	3	3	2
102636500	2	2	2	2	2	2	2
102636520	2	2	2	2	2	2	2
102636541	2	2	2	2	2	2	2
102636545	3	2	3	2	3	2	3
102636547	2	2	3	2	2	2	3
102636549	2	2	2	2	2	2	2
102636562	2	2	2	2	2	2	2
102636615	1	3	1	2	2	1	1
102636621	2	2	2	2	2	2	2
102636637	2	2	2	2	2	2	2
102636658	2	1	2	2	2	12	1
102636673	2	2	2	2	2	3	2
102636676	2	2	2	2	2	2	2
102636682	1	1	1	2	2	1	1
102636721	2	3	2	2	2	2	2
102636738	2	2	2	2	2	1	2
102636743	2	2	2	2	2	2	2
102636789	1	1	1	2	2	1	1
102636790	2	2	2	2	2	2	2
102636799	2	1	2	2	2	1	1
102636825	3	2	3	2	3	2	3
102636831	2	2	2	2	2	2	2
102636905	2	2	3	2	2	2	3
102636916	2	2	2	2	2	2	2
102636919	2	2	2	2	2	1	2
102636982	2	3	2	2	2	2	2
102637024	2	2	2	2	2	2	2
102637027	1	1	2	2	2	1	2
102637048	2	2	2	2	2	2	2
102637056	2	2	2	2	3	2	2
102637077	2	2	2	2	2	1	2
102637085	2	2	2	2	2	2	2
102637101	2	2	3	2	2	2	3
102637133	1	1	1	2	2	1	1
102637159	2	2	2	2	2	2	2
102637227	2	2	2	2	2	2	2
102637230	2	2	2	2	2	2	2
102637233	2	2	2	3	2	2	2
102637254	2	2	2	2	2	2	2
102637256	2	1	2	2	2	1	1
102637267	2	2	2	2	2	2	2
102637271	3	2	2	2	3	3	2
102637304	2	2	2	2	2	2	2
102637329	2	2	2	2	2	2	2
102637333	2	1	2	2	2	1	1
102637334	2	2	2	2	2	2	2
102637349	2	2	2	2	2	2	2
102637355	3	2	2	2	2	2	3
102637363	2	2	2	2	2	2	2
102637379	2	2	2	2	2	2	2
102637382	2	2	2	2	2	2	3
102637405	3	2	3	2	3	2	3
102637410	2	1	2	2	2	1	1
102637419	2	2	2	2	2	2	2
102637427	3	4	4	2	2	2	2
102637435	1	3	1	2	2	1	1
102637456	3	2	2	2	3	3	2
102637529	2	2	2	3	2	2	2
102637530	2	2	2	2	2	2	2
102637538	2	2	2	2	2	2	3
102637539	2	2	2	2	2	2	3
102637543	2	2	2	2	2	2	2
102637545	2	2	2	2	2	2	2
102637555	2	3	2	2	2	2	2
102637582	2	2	2	3	2	2	2
102637603	2	2	2	2	2	2	2
102637604	3	2	2	2	3	3	2
102637607	2	2	2	2	2	2	2
102637643	2	2	2	2	2	2	2
102637658	2	2	2	2	2	2	2
102637660	3	2	3	2	3	2	3
102637673	2	2	2	2	2	2	3
102637687	2	1	2	2	2	1	1
102637699	2	2	3	2	2	2	3
102637732	2	3	2	2	2	2	2
102637733	1	1	1	2	1	1	1
