"","B_Cell.Control","B_Cell.SLE","T_Cell.Control","T_Cell.SLE","Monocyte.Control","Monocyte.SLE","P_Cell","P_SLE","P_Cell:SLE"
"55556",111.579525596276,71.0869660596998,280.513907294635,217.356729435235,102.39801621829,341.9189087197,8.00779370282147e-07,0.0625928544303296,4.08346612315659e-06
"286006",83.5989415426135,23.2010890881303,352.158860704594,10.0029442841169,49.5768519390016,19.4974801263999,0.00601289199992896,5.13713723190571e-09,5.43577430709013e-06
"643224",0.965503002262734,1.01475357308973,0.981458017007684,0.988517429637572,2.67609418841823,1.03027342463929,3.75678614241135e-06,0.000115422703491687,6.68560695135631e-06
"9372",8.181032731355,8.64665792604172,54.603936681844,22.7714673726006,4.35665834260994,61.9133718561879,8.2005593359715e-05,0.00418222976638734,7.33483050233215e-06
"1108",1471.41649487324,1492.59576649364,4108.72152547379,833.135592367359,703.14568728527,440.71752011682,6.7879606124407e-08,1.62008127808227e-06,7.63179251169786e-06
"8603",240.952012679732,298.457139815224,379.3228183454,206.961038735319,247.82968213703,288.552887272367,0.631335344702379,0.0924104851352164,8.03836008513081e-06
"440104",40.9434901126789,45.9971493981967,60.7977844730544,53.4222101390628,73.5515615649268,235.939531105736,3.52288665241237e-08,9.67999076522737e-05,9.9890958035988e-06
"101927767",0.970943789434172,1.01397041900361,2.25240488915591,0.986088115973196,1.02246105258641,1.02399715116559,2.33674339487448e-05,0.000158578446362207,1.05135296905833e-05
"1788",123.474567562659,144.670021909107,242.998266358896,109.008510293952,65.9217627757475,174.650761870242,0.00766429103782957,0.232639972812204,1.11031775239548e-05
"310",267.21715203001,555.907631541343,199.174758330777,593.767049692342,437.176973721645,459.603178695645,0.00478906965778741,5.06991330008424e-08,1.11326701670505e-05
"2631",84.0226416310803,96.8857859500474,43.4259950268868,124.205488698909,134.194831838814,155.029992706805,6.93241054763284e-07,2.04848129536816e-06,1.29881582199131e-05
"64764",508.648234963167,168.51113845785,380.244550542445,191.213766774676,357.344918661235,454.731451485969,0.00115079044206123,7.59976272849956e-06,1.33520591950777e-05
"200081",159.172043374299,271.531974150669,295.692113310169,185.117490253401,147.219704868634,240.976778698862,0.0301588155409459,0.00710906426445418,1.44558903467896e-05
"56910",779.536210740251,1127.23265317265,759.475250555257,1353.650477967,634.671606838568,442.278432277505,3.73166669176248e-07,0.0023585992039201,1.72251108390139e-05
"144360",0.970943789434172,1.01397041900361,0.983828454921564,0.986088115973196,2.34085145870347,1.02399715116559,9.99374328880421e-06,0.000244335434144202,1.72411403910244e-05
"341",0.93482708231074,1.01918149961448,0.968889077208443,1.26322541170631,1.01285038014463,4.95138814358063,7.05105603609399e-06,6.02713706768303e-06,1.73927581427036e-05
"10220",144.238464640951,76.6503950744765,870.543196059061,94.3817307495254,76.8997473905488,68.2854375661832,1.25954440799624e-06,1.61845962902149e-06,1.89862348637499e-05
"30061",26.2998260250237,30.0626657288931,22.0646364967099,103.149398695637,58.7139129656025,18.1283686354635,0.0271889984796065,0.2613971502901,1.91025062586162e-05
"54518",181.930884750779,50.1191242642801,158.594224061517,112.955840911828,270.08176589601,257.522210280744,1.35600792147222e-07,2.75907296537177e-06,1.94400517327802e-05
"90050",0.938850978596721,1.61692705154373,0.970447991695981,1.00073129153629,3.34820140705272,1.0618563140473,0.000290122684044169,0.0583507310696571,2.14502252649157e-05
"200185",38.852042173603,34.4828216669469,8.76542242208398,52.6487046502762,43.1170600115885,47.0355059737491,0.000473309934402943,0.000208183015517208,2.42784022678236e-05
"65061",4.83294959871037,1.01976934233556,1.21877506567612,1.00454895047628,1.01164688004644,1.07172044288702,3.40508120457239e-05,5.60295401215034e-05,2.49319714519054e-05
"10951",139.205321666227,285.106046630701,170.520659477097,125.866567724393,149.517659438579,65.1162542831331,8.59220983796385e-05,0.129658471156777,2.93389681879208e-05
"9284",32.0172190659225,87.5994283268641,62.1396620758141,45.8109723157302,39.8698494164044,26.2506343365126,0.000609132439566812,0.296394021200214,3.10247494110482e-05
"797",0.961691793757795,1.01530273399595,2.82628755969308,0.990231727601331,1.02016238335827,1.03470478679254,6.08005811824549e-05,0.00047119176949092,3.25756934243017e-05
"55862",79.0184585799722,70.8409752523299,47.4794081430549,99.289333088398,179.201664382946,82.3664217423273,0.000255679393225522,0.566535612398841,3.53343747502073e-05
"171023",486.96356705627,762.5832534177,1498.88142112282,551.549559837163,195.248128474418,94.2546021878704,1.02209704060994e-09,0.000318728878797863,3.64052451963385e-05
"79665",170.435546150589,313.789714767795,206.023779201527,376.85644629052,136.344361099529,86.0531244658667,2.23751531045616e-07,0.00323664643329263,3.66912276045702e-05
"84069",1.1770606753554,1.01926721325563,0.968661679619751,1.00290268458587,1.0126765690532,5.03598605115125,7.15348854745839e-05,0.000579991489195272,3.8703299392258e-05
"6204",21.2688934954622,45.8787651934281,8.65053771784101,47.7745098674718,25.0941450385585,20.4551614120238,0.0175050913609179,1.32074335211567e-05,3.97612553345897e-05
"57217",199.930751932635,615.620574653115,170.434430161028,208.771383174674,357.403669773863,322.813730093522,1.7518313638509e-05,0.000105371563692596,4.26777115638638e-05
"752",450.657623427591,811.074973316837,613.488552391783,438.29342630172,631.422943411288,836.461708267784,0.000878437432804768,0.00601450542345403,4.38476640487202e-05
"55246",33.6620463922559,86.5175052560966,20.0544560817048,120.906279485195,42.3519501165895,31.0666238837877,0.0466647983768026,2.05681051216299e-05,4.39400951763327e-05
"389610",0.943886583857299,3.69919501927924,0.972439755862764,1.25788290190372,1.01543514463494,1.05578363708597,0.000109740942843044,1.73509205472004e-05,4.42600936966833e-05
"101928445",13.9149430788585,21.1218452743942,93.5002417157428,5.98523335063923,20.4821324859648,14.7153378793473,0.319551796988957,0.00049437603064835,4.46037992597384e-05
"28232",225.822449069099,27.2950694458851,200.089276871051,141.121536605864,429.031456305633,305.31043919533,7.18210245813308e-07,3.65823021329305e-06,4.66675744648385e-05
"8773",325.634219995647,192.280801612844,137.217884175547,152.927437073493,355.28358254084,137.228270503775,2.34291065181471e-05,7.28172653724822e-06,4.73066893371314e-05
"285550",27.4569698052129,17.0723190739662,14.1701602438897,33.4824393292494,67.4683903560408,92.2818612489579,8.9691050815748e-09,0.0104371558885702,4.77838299056269e-05
"101928240",79.4247657260845,18.8704490901591,62.2862432269327,29.3067073036199,122.632118634584,214.827257086631,4.24206950762181e-07,0.000537239682372698,4.84471635886039e-05
"55272",39.8729526626606,67.2138245893248,27.0363718672602,82.1862397582463,68.1535775022255,31.8588281670755,0.700405677436081,0.021331911293092,5.0334158706344e-05
"9266",74.5949865067559,33.8284216242191,139.352707367041,32.9313625620871,68.3649743634844,65.8546165025715,0.0169756351121095,7.64661453319773e-07,5.28236250875612e-05
"9908",2182.60204804204,2233.71292157196,1576.77943133769,4385.52934424036,1028.98935073967,855.264808780202,1.93379928138787e-07,0.00231896185727714,5.28272453894142e-05
"100874063",1.15768744946586,1.62150831831853,4.40944280761477,1.0102578558637,1.00797331245464,1.08645460081369,0.000997980456508818,0.00885649324014794,5.45955989546508e-05
"284454",354.806249147164,126.95797270608,727.317669899003,47.5209797732564,682.36988321583,837.030311905277,3.43982116044737e-05,1.6172107010411e-05,5.62249656501438e-05
"1519",108.048445572495,129.02297817304,63.8158817856957,148.985751039443,186.270468633658,152.288536099027,3.89235632354441e-05,0.000832790320678376,5.9094226206725e-05
"149478",80.121017360402,14.3073219888482,295.627153888832,40.2260312479651,153.124440168747,157.394497854046,1.41701802480774e-06,6.16481127082921e-07,6.41667353638279e-05
"5261",47.9025493437793,46.9953744830924,192.439356030008,35.832798609212,72.1681647643535,48.5988162622428,0.00278901145071726,1.94733324353757e-05,6.56347686688504e-05
"200407",0.903944019300554,1.02363059130246,2.19318216719547,1.61530727539936,1.00303025983602,4.32715195946946,0.00016122250798239,0.00207796342351712,6.72178089017416e-05
"23126",663.949725069325,763.337323434758,1058.97727927767,608.882642686616,531.633092423547,544.102111938598,2.51619000649382e-05,0.0120017696716674,6.87414374991629e-05
"1662",135.805975937093,250.282935699085,251.764469102745,166.942328509509,93.5841522175846,63.4880436156302,1.19385551610237e-07,0.386285865728237,7.07279568050391e-05
"51639",70.0236071430947,98.9431981279461,33.0662662742664,139.521287655698,88.6399374289497,142.430125373176,0.000336980796027641,2.01993837807411e-07,7.30698392109678e-05
"220963",0.955023679771495,3.47557569787281,0.976998873488443,0.993256470636939,1.01844238439267,1.04252667079355,0.000141475223398096,0.000283942086230462,7.41236325404489e-05
"81853",54.1374688936336,44.9337083929933,21.4934899202194,74.2974320752052,69.6927096833423,62.4551112734875,0.00418509035884111,0.00710239282123737,8.3070143143838e-05
"1786",149.540713133003,233.189298702468,380.71901280036,181.911161886759,161.230217103622,94.1085425951621,1.44099167647909e-05,0.00362957333553808,8.69348561596464e-05
"27069",258.943611959044,266.283323466466,137.384588180398,307.949672081965,367.869768710926,386.872755707979,3.61306774900573e-06,0.000146205416137708,8.87534779437213e-05
"2776",571.948777808945,62.8121314471424,374.470161480628,313.601458632744,717.821246265589,412.74751998482,0.000110288263359033,8.014137962882e-06,8.98642967352279e-05
"102723973",0.896970022705846,1.02462883947537,0.955766493880254,1.28646748360622,1.26065615370003,12.3696362514833,6.60125187697206e-06,4.68549659548713e-05,9.01403000496417e-05
