"","Mean","SD","Range","pANOVA","Mean_WT_00Hr","Mean_WT_02Hr","Mean_WT_04Hr","Mean_WT_06Hr","Mean_WT_08Hr","Mean_WT_10Hr","Mean_WT_12Hr","Mean_WT_14Hr","Mean_WT_16Hr","Mean_WT_18Hr","Mean_WT_20Hr","Mean_WT_22Hr"
"11488_Adam11",-0.0595012544913441,1,6.0950313330511,0.295458353051631,-6.00445619151439e-15,0.490262356991804,0.882747670875706,0.0514132808830297,-0.391763954075597,0.291691675213951,-0.707326081128106,-0.355302494673846,-0.142566929387408,-1.41117651954346,-0.0866287551613465,0.664634696109147
"11496_Adam22",1.08039332805144,0.999999999999999,5.04431738567629,0.229896598567489,9.15933995315754e-16,0.945743967874977,0.516313181330869,-0.0830547455294037,1.50479049365436,1.25892957080878,1.95535200144111,1.71373819626465,1.31110095452201,1.62271355091171,1.07782408402938,1.14126868130879
"11498_Adam4",-0.44731531035785,1,4.40818238800746,0.507451840807449,-1.50065145495167e-14,-0.237541540221877,-0.606148910724132,0.0338297480617681,-1.53705362545985,-1.15480680451062,0.284864077973109,-0.601651314161073,-0.339226332084441,0.101782565700906,-0.203614018321441,-1.10821757054654
"11502_Adam9",-0.325324224394653,1,4.32399307188751,0.847075068547134,-3.70074341541719e-17,-0.427337873861252,-0.131382249455226,-1.11865185069989,-0.664249131061787,-0.332576783950242,-0.65604094012946,-0.929607486566237,0.41638224272081,-0.284095556426889,0.271877126681474,-0.0482081899871427
"11513_Adcy7",-0.298622333395177,1,4.56512626592619,0.996503391058806,-1.00660220899348e-14,-0.496573097115658,-0.0718731971148739,-0.0888399846305074,-0.297390081176879,-0.614162360592095,0.16171469350841,-0.45780870063897,-0.679319537648678,-0.067690412692616,-0.239773698571708,-0.731751624068533
"11515_Adcy9",0.920486085297075,1,3.90329447714333,0.0010842127206124,-2.10479781751853e-16,0.902439533650329,1.19285243456117,1.66835444116412,2.8063619275135,1.90580317592064,0.635267725306882,0.055382314513934,0.415686420096391,0.24208351911245,0.816225827551318,0.405375704174151
"11518_Add1",-0.536228088543057,1,4.08697357266698,0.226126491177026,3.64523226418593e-15,-0.330157386506298,0.241170518504729,-0.408816140642535,0.512942855869723,-0.465952957698751,-0.608090353194483,-1.53339271820635,-1.23134068639014,-1.33886984068797,-1.08402916757395,-0.188201185990662
"11519_Add2",-0.678762458252302,1,4.11783740787257,0.131611682634453,-1.53210777398272e-14,-1.24938562706083,-0.0424097908988121,-0.101000024108404,-0.344132459883655,-1.43878196231972,-0.537020364272777,-0.409790991576355,0.129102897595526,-1.98516995108819,-0.82707608274929,-1.3394851426651
"11522_Adh1",0.0057241909067296,1,4.73934145610774,0.482203171138749,-2.66453525910038e-15,0.319688846774371,-1.38737070699165,-0.0177979044999306,-0.384434737198438,0.18933122192355,-0.550965400384248,0.586368799605717,0.602531220989434,0.569821558665247,-0.135552688867021,0.277070080863731
"11529_Adh7",0.154137235704783,0.999999999999999,4.02004257991848,0.000449926183887817,-1.03158222704754e-15,-0.413238543947345,-1.02560507116571,-1.05321430832778,-0.521981349567464,-0.593955957279515,0.551006784417135,1.27513380952453,0.880094067637517,1.02256090791198,1.20421804120508,0.524628448048966
